name_7245#0,"""셰미"""
name_7224#0,"""시트레"""
ssn_019100_002_0001#0,"""아 안녕하세요… 와 주셔서 감사해요.<br>다시 한번 자기소개를 할게요."""
ssn_019100_002_0002#0,"""제 이름은 셰미.<br>기술 개발부에서 장비 개발을 담당하고 있습니다."""
ssn_019100_002_0003#0,"""그래서 부탁드리고 싶은 건…"""
ssn_019100_002_0004#0,"""저는 지금 무기 출력 향상 실험을 하고 있는데<br>가지고 있는 재료로는 한계가 있어요."""
ssn_019100_002_0005#0,"""최근 \""그리닐사이트\""라는 광석을<br>얻을 수 있다는 얘기를 들어서…"""
ssn_019100_002_0006#0,"""테드라사이트가 변이된듯<br>하다고 하네요."""
ssn_019100_002_0007#0,"""반응제로서… 일반 광석보다<br>좋은 수치가 나올지도 몰라요."""
ssn_019100_002_0008#0,"""그걸 포톤 출력 테스트에<br>써보고 싶어요."""
ssn_019100_002_0009#0,"""저, 저기… 당신께… <br>채취를 부탁드리고 싶은데요…"""
ssn_019100_002_0010#0,"""안 되… 나요?"""
ssn_019100_002_1001#0,"""아 안녕하세요… <br>그리닐사이트를… 받아도 될까요?"""
ssn_019100_002_1101#0,"""가 감사합니다."""
ssn_019100_002_1102#0,"""왠지 이뻐요.<br>좋은 수치가 나올 거 같아요 … 후후, 후후후."""
ssn_019100_002_1103#0,"""じゃあ、さっそく試して… みますね."""
ssn_019100_002_1104#0,"""すごいすごい!"""
ssn_019100_002_1105#0,"""聞いてください!<br>すごい数値、出ちゃいました!"""
ssn_019100_002_1106#0,"""… あっ、ごめんなさい.<br>はしゃぎすぎて… しまいました."""
ssn_019100_002_1107#0,"""私らしく… ない、ですね…"""
ssn_019100_002_1108#0,"""その… 期待値の、1.5倍くらい反応あって、<br>新しい武器の開発がはかどりそうです."""
ssn_019100_002_1109#0,"""こうなると… 欲、出てきますね."""
ssn_019100_002_1110#0,"""もうひとつ、\""アウトゥムアーリス\""っていう、<br>フォトンの結晶体みたいなのがあって…"""
ssn_019100_002_1111#0,"""これは、시즌エネミーから、<br>サンプルが採れる… っぽいです."""
ssn_019100_002_1112#0,"""それを、集めてきてくれると、<br>うれしいです… とても."""
ssn_019100_002_2001#0,"""アウトゥムアーリス、もらってもいいですか?"""
ssn_019100_002_2101#0,"""手に… 入ったんですね.<br>ありがとうございます."""
ssn_019100_002_2102#0,"""じゃあ、試してみたいと、思います.<br>本当にもらって、いいんです… よね?"""
ssn_019100_002_2103#0,"""あの… その…"""
ssn_019100_002_2104#0,"""うまく、いきませんでした…"""
ssn_019100_002_2105#0,"""いや、大きな反応は、<br>あったんですけど… 出力、安定しなくて."""
ssn_019100_002_2106#0,"""実は、もっと純度の高い<br>結晶体もあるらしくて…"""
ssn_019100_002_2107#0,"""研究員は、\""アウトゥムレーティス\""って、<br>呼んでる… 하다고 하네요."""
ssn_019100_002_2108#0,"""これも、시즌エネミーから、<br>回収できる… っぽいです."""
ssn_019100_002_2109#0,"""ただ、あんまり見つかってません.<br>希少… らしいです."""
ssn_019100_002_2110#0,"""ほかにも入手経路、あるっぽいんですけど.<br>詳しくは、そっちの端末に送ります."""
ssn_019100_002_2111#0,"""あ… あの、できたらでいいので、<br>それを… 採ってきてもらえますか?"""
ssn_019100_002_3001#0,"""… 아우툼레이티스<br>本当にもらって… いいんですか?"""
ssn_019100_002_3101#0,"""す… すごいですね、あなた.<br>本当に採ってきてくるなんて…"""
ssn_019100_002_3102#0,"""これは、貴重なデータ、<br>とれちゃいそう… 후후… 후후후."""
ssn_019100_002_3103#0,"""さっそく、試してみます."""
ssn_019100_002_3104#0,"""あ、あのー…"""
ssn_019100_002_3105#0,"""うまく、いった… んですけど…"""
ssn_019100_002_3106#0,"""やっぱり、もうちょっと、<br>テストしてみないと実用化、難しいかもです."""
ssn_019100_002_3107#0,"""数値にバラツキが… 多くて."""
ssn_019100_002_3108#0,"""でも、その… 一歩前進です."""
ssn_019100_002_3109#0,"""あ、ありがとうございました!<br>このたびは、まことに…"""
ssn_019100_002_3110#0,"""… で、もしよかったら、<br>安定化できたバージョンの武器、譲ります."""
ssn_019100_002_3111#0,"""また、材料とってきてくれたら、<br>それと交換って感じで."""
ssn_019100_002_3112#0,"""で、에선これからも、よろしくお願いします."""
ssn_019100_002_4001#0,"""あーあー、聞こえるかな?<br>キミが、<%me>だよね?"""
ssn_019100_002_4002#0,"""いきなりの連絡でごめんね.<br>ボクは補給担当の시트레."""
ssn_019100_002_4003#0,"""いや、凄腕아크스の話を聞いてね.<br>ボクもお願いをしたいなと思って."""
ssn_019100_002_4004#0,"""<%me>には、<br>エネミーの討伐とかを頼みたいんだ."""
ssn_019100_002_4005#0,"""前線で戦ってる아크스には、<br>日課みたいな依頼だと思うんだけど、どうかな?"""
ssn_019100_002_4006#0,"""まあ、できたらでいいんで、<br>考えといてよ. それじゃね!"""
ssn_019100_002_4101#0,"""<%me>、ひさしぶり!<br>補給担当の시트레だよ."""
ssn_019100_002_4102#0,"""<%me>、頼りになるでしょ?"""
ssn_019100_002_4103#0,"""今度は、ボクのお願いを<br>聞いてもらいたいと思ってね."""
ssn_019100_002_4104#0,"""いつもどおり、<br>에너미 토벌とかを頼めるかな?"""
ssn_019100_002_4105#0,"""任務じゃないから、<br>手すきのときでいいからさ."""
ssn_019100_002_4106#0,"""それじゃ、よろしくね!"""
ssn_019100_002_4201#0,"""시트레? どうしたの?"""
ssn_019100_002_4202#0,"""시트레、相変わらずだなぁ."""
ssn_019100_002_5001#0,"""武器の開発は… 素材、いくらあっても足りないです.<br>もし… 持ってたら、別のものと交換します."""
ssn_019100_002_6001#0,"""なにか、要りますか?"""
npc_select_0001#0,"""그리닐사이트 1개를 건네주기"""
npc_select_0002#0,"""아우툼아리스 10개를 건네주기"""
npc_select_0003#0,"""아우툼레이티스 2개를 건네주기"""
npc_select_0004#0,"""그만두기"""
npc_select_0005#0,"""아이템 교환하기"""
npc_select_0006#0,"""あの、少し… 足りないみたい… です.<br>ごめんなさい…"""
npc_select_0007#0,"""あの… 私、기다릴게요から.<br>ずっと…"""
npc_menu_0001#0,"""シーズナルアイテムと交換する ($(0)まで)"""
npc_menu_0002#0,"""シーズナルポイントと交換する ($(0)まで)"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""\""シーズナルイベント\""について"""
npc_menu_0006#0,"""\""シーズナルイベントキャラクター\""について"""
npc_menu_0007#0,"""\""デイリー／ウィークリータスク\""について"""
npc_menu_0008#0,"""\""ミスチーフシンボル\""について"""
npc_menu_0009#0,"""\""シーズナルギャザリング\""について"""
npc_menu_0010#0,"""\""シーズナルリージョンマグ\""について"""
npc_menu_0011#0,"""\""시즌エネミー\""について"""
npc_menu_0012#0,"""\""ワールドトライアル\""について"""
npc_menu_0013#0,"""\""ステラーギフトトライアル\""について"""
npc_menu_0014#0,"""묻고 싶은 것이 없다"""
