un_025030_0010#0,"""修伊？"""
un_025030_0020#0,"""……什麼啊、是你啊。<br>……太好了。"""
un_025030_0030#0,"""找我有事……怎麼可能。<br>說他是來打倒我的<br>倒更貼切一些。哈哈……"""
un_025030_0040#0,"""你也看到了吧……？<br>和我長得一模一樣的那些傢伙。"""
un_025030_0050#0,"""我也和那個一樣。只是其中的<br>被幸運地選中了。"""
un_025030_0060#0,"""現在我也明白了……<br>我的力量是被仿造、複製的。<br>替換的人有很多。"""
un_025030_0070#0,"""一切都只是準備好的椅子。<br>即使不是我、也能坐的椅子。"""
un_025030_0080#0,"""儘管如此、我卻連這種事都不知道<br>我……繼承了六芒<br>以三英雄的身份自居。"""
un_025030_0090#0,"""即使是克拉麗莎<br>也不再說什麼了。"""
un_025030_0100#0,"""我聽到的、是那個人的……<br>用那個叫盧瑟的傢伙的話來說<br>我只是被操縱着……"""
un_025030_0110#0,"""太滑稽了、真的很滑稽……<br>……不笑這個<br>笑什麼好呢。"""
un_025030_0120#0,"""……我接下來<br>該怎麼笑才好呢。"""
un_025030_0130#0,"""這……這種感覺！<br>是修伊、修伊來了！"""
un_025030_0140#0,"""喂、你啊！<br>我在的事是保密的！<br>絶対、絶対的哦！"""
un_025030_0150#0,"""感受到快哭出來的光子！<br>我、立刻出現！"""
un_025030_0160#0,"""……可惡、又跑了！<br>喂、你剛才還在這裡<br>克拉莉絲克蕾絲呢？"""
un_025030_0170#0,"""１．沒有在。逃到那邊去了。"""
un_025030_0180#0,"""２．悄悄說，逃到那邊去了。"""
un_025030_0190#0,"""感恩！<br>那麼、下次再見吧！"""
