name_7440#0,"""하츠카리"""
ssn_015491_0001#0,"""좋았어!<br>그럼 얘기해 볼까."""
ssn_015491_0002#0,"""너, “존넬”이라는<br>자동요격기 알아?"""
ssn_015491_0003#0,"""돌즈의 지원기인데<br>주변을 빔으로 무차별공격하는 귀찮은 녀석이야."""
ssn_015491_0004#0,"""게다가 본체를 실드로 보호해서<br>우리 공격은 안 먹혀."""
ssn_015491_0005#0,"""이런 존넬을 때려잡는 방법은<br>딱 하나."""
ssn_015491_0006#0,"""주변에 널린“다즐 팟”이라는 걸<br>보이는 족족 부수는 거야."""
ssn_015491_0007#0,"""그럼 본체의 실드가<br>출력 부족으로 해제될 거야."""
ssn_015491_0008#0,"""하지만 그 다즐 팟도<br>인식저해기능이 있어서 찾기 힘들어……."""
ssn_015491_0009#0,"""가능하면 동료 아크스들과<br>연계해서 대처하는 게 좋을 거야."""
ssn_015491_0010#0,"""만약 발견하면<br>제일 먼저 잡아야 해!"""
