linewindow#0,"""<br>關於『照相機操作』<br>"""
text00#0,"""關於『照相機操作』"""
text01#0,"""教學<br>說明關於『照相機操作』。"""
text02#0,"""說明關於『照相機操作』。"""
text03#0,"""移動滑鼠可以觀看四周。"""
text04#0,"""用右類比搖桿可以觀看四周。"""
text05#0,"""照相機重新設定為標準視角時，<br>可以使用<%LockOn>執行。"""
text06#0,"""照相機重新設定為標準視角時，<br>可以使用<%LockOn>執行。"""
text07#0,"""變更照相機的設定時，<br>一般可從設定中做變更調整。"""
text08#0,"""透過「標準」→「相反」的變更，<br>照相機的設定會變成倒轉設定。<br>可依各系統武器改變設定。<br><br>試試自己所在的環境設定。"""
linewindow#1,"""<br>『カメラ操作』について<br>"""
text00#1,"""『カメラ操作』について"""
text01#1,"""チュートリアル<br>『カメラ操作』について説明します。"""
text02#1,"""『カメラ操作』について説明します。"""
text03#1,"""マウスを動かすことで周りを見回すことができます。"""
text04#1,"""右スティックで周りを見回すことができます。"""
text05#1,"""カメラを標準の視点にリセットをするには<br><%LockOn>で行うことができます。"""
text06#1,"""カメラを標準の視点にリセットをするには<br><%LockOn>で行うことができます。"""
text07#1,"""通常カメラの設定を変えるには、<br>オプションから設定の変更が可能です。"""
text08#1,"""「標準」→「反転」に変更することで、<br>カメラの設定がリバース設定になります。<br>設定は各系統の武器ごとに変えることが可能です。<br><br>自分にあった環境設定にしてみましょう。"""
