ssc_503050_0010#0,"""こんなところでキミに会うとは。"""
ssc_503050_0020#0,"""もし時間があれば、<br>少し話せるだろうか。"""
ssc_503050_0030#0,"""ありがとう。"""
ssc_503050_0040#0,"""新人アークスの指導をしていてな。"""
ssc_503050_0050#0,"""彼らがトレイニアを踏破するまで、<br>少し待ち時間ができたのだ。"""
ssc_503050_0060#0,"""さっそくだが、本題に入ろう。"""
ssc_503050_0070#0,"""最近、マノンはどうしているだろうか。"""
ssc_503050_0080#0,"""マノンがなにか？"""
ssc_503050_0090#0,"""どういうこと？"""
ssc_503050_0100#0,"""マノンは優秀なアークスだ。<br>戦闘員としても、技術者としても、研究員としてもな。"""
ssc_503050_0110#0,"""だが、彼女はどこか影がある。<br>それが、よくない方向に作用しないかを危惧している。"""
ssc_503050_0120#0,"""キミも、気づいているかもしれないが、<br>マノンには、どこか影がある。"""
ssc_503050_0130#0,"""彼女は優秀なアークスだが、<br>その側面が、悪い方向に作用しないかが気になってな。"""
ssc_503050_0140#0,"""マノンの憂いの原因が、<br>なんであるかはわからない。"""
ssc_503050_0150#0,"""自分から言いださないのであれば、<br>こちらから詮索するべきではないだろう。"""
ssc_503050_0160#0,"""しかし、迷いやためらいは、<br>戦いの勘を鈍らせる。"""
ssc_503050_0170#0,"""ときには、間違った選択をする<br>引き金にもなり得る。"""
ssc_503050_0180#0,"""そこで生じたミスが、<br>個人だけでなく、周りに影響を及ぼすことも、な。"""
ssc_503050_0190#0,"""……これは、<br>戦いのなかで得た私の経験則だ。"""
ssc_503050_0200#0,"""アイナは、自らの過去とまっすぐ向き合い、<br>それを乗り越えようとしている。"""
ssc_503050_0210#0,"""一方でマノンは、自身の悩みを、<br>抑え込もうとしているように見える。"""
ssc_503050_0220#0,"""そういう類のものは、<br>得てしてどこかで爆発するものだ……。"""
ssc_503050_0230#0,"""もしも、マノンが助けを求めるならば、<br>キミたちがまず受け止めてやってほしい。"""
ssc_503050_0240#0,"""いつも、一緒にいるキミたちならば、<br>小さな変化にも気づけるだろう。"""
ssc_503050_0250#0,"""チームとは、<br>単に力を合わせるだけではない。"""
ssc_503050_0260#0,"""心をも通わせてこそ、<br>真のチームたりえる。"""
ssc_503050_0270#0,"""それを、覚えておいてほしい。"""
ssc_503050_0280#0,"""……ふう。<br>なんだか説教くさくなってしまったな。"""
ssc_503050_0290#0,"""さて、そろそろ彼らが、<br>トレイニアから出てくるころだな。"""
ssc_503050_0300#0,"""引き留めておいてすまないが、<br>このあたりにしておこう。"""
ssc_503050_0310#0,"""話を聞いてくれてありがとう。"""
ssc_503050_0320#0,"""マノンのこと、<br>よろしく頼む。"""
