a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""艦隊迎撃戦：被害艦救助"""
Explanation#0,"""当船団の巡洋艦が終の艦隊から<br>激しい攻撃を受けているとの急報があった。<br><br>損壊率は６０％を越えており<br>自律での航行は不可能な状況であるに加え<br>今もなお敵艦隊からの砲火に晒されている。<br>急ぎ、被害艦の救助に向かえ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""これより、輸送を開始します。<br>今回の目的は、敵勢力によって<br>被害を受けている味方艦の救助です。"""
NpcComMsg2#0,"""先行して救助に向かった<br>もう一隻の味方艦に合流し<br>協力して作戦を遂行してください！"""
SimpleExplanation#0,"""味方艦を救助しろ！"""
Area0S#0,"""艦隊交戦区域"""
Area0L#0,"""艦隊交戦区域\u3000セクター１展開エリア"""
