msc_027040_0010#0,"""お待たせ。"""
msc_027040_0020#0,"""あれ？\u3000ファリアは？"""
msc_027040_0030#0,"""あそこにいるわ。"""
msc_027040_0040#0,"""ファリア！"""
msc_027040_0050#0,"""……どうしたの？<br>ソレ？"""
msc_027040_0060#0,"""戦いに赴くのであればと、<br>クロフォードが用意してくれました。"""
msc_027040_0070#0,"""そうなんだ。<br>へぇー。"""
msc_027040_0080#0,"""似合ってる。"""
msc_027040_0090#0,"""カッコいい。"""
msc_027040_0100#0,"""ありがとうございます。"""
msc_027040_0110#0,"""そ、そうですか？"""
msc_027040_0120#0,"""ところで……その……。"""
msc_027040_0130#0,"""ゼフェットに操られてたときは、<br>どんな感じだったの？"""
msc_027040_0140#0,"""操られていた……というか、<br>自分の身体から精神が切り離されたような感覚でした。"""
msc_027040_0150#0,"""もうひとりの自分を見ているような……。"""
msc_027040_0160#0,"""マノン、どうしたの？"""
msc_027040_0170#0,"""なぜ、ファリアだったのかしら？"""
msc_027040_0180#0,"""え？"""
msc_027040_0190#0,"""ゼフェットが、<br>メッセージの伝達役に選んだ相手のことよ。"""
msc_027040_0200#0,"""それは、私がゼフェットの<br>バックアップだからです。"""
msc_027040_0210#0,"""バックアップ？<br>だって、あなたは……。"""
msc_027040_0220#0,"""はい。<br>マノンのバックアップです。"""
msc_027040_0230#0,"""そして、同時にゼフェットの<br>バックアップでもあったようです。"""
msc_027040_0240#0,"""どうして、そう言いきれるの？"""
msc_027040_0250#0,"""ゼフェットの意識が流入してくるときに、<br>そうした情報が同時に流れ込んできました。"""
msc_027040_0260#0,"""自分の身になにかあったときのために、<br>あらかじめ準備をしていた……ということなのね。"""
msc_027040_0270#0,"""ファリア、本当になんともない？"""
msc_027040_0280#0,"""ファリア、なにかあったらすぐ言ってよ？"""
msc_027040_0290#0,"""は、はい……大丈夫です。"""
msc_027040_0300#0,"""は、はい……。"""
msc_027040_0310#0,"""ええと……その……。"""
msc_027040_0320#0,"""ありがとうございます。<br>……心配してくれて。"""
