Title#0,"""Giant Transforming Automata"""
Explanation#0,"""มีรายงานว่ามีเครื่องจักรขนาดยักษ์บ้าคลั่งอยู่ใน<br> Underworks บน Lilipa<br>พวกมันเป็นเครื่องจักรสังหารที่ทรงพลัง<br>ARKS จงไปยัง Underworks<br>และหาเครื่องจักรที่แปลงร่างแล้วกำจัดมัน<br><br>----------------------------------------<br>ท่านจะล้มเหลวถ้าแพ้การต่อสู้สุดท้าย"""
Title#1,"""巨大変形機甲種撃破"""
Explanation#1,"""惑星リリーパの地下坑道にて<br>巨大な機甲種が暴走しているとの情報が<br>入った。変形機能を持つ強行戦闘型だ。<br>アークス各員は、地下坑道へ順次出撃。<br>暴走している変形機甲種を目標とし<br>その撃破行動に移れ。<br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด Tranmizers!"""
SimpleExplanation#1,"""トランマイザーを撃破せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
