name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""Patiจัง กลับมาแล้ว<br>เป็นเด็กดีรึเปล่า?<br>ไม่ได้คุยกับคนแปลกหน้าใช่มั้ย?"""
11_voice_NPC_5013_104#0,"""...ทำไมคนที่ออกไปทำภารกิจมาอย่าง Tia<br>ต้องมาห่วงคนที่อยู่เฉยๆอย่างชั้นด้วย?<br>ปกติมันต้องกลับกันอ๊ะป่าว?"""
text03#0,"""สบายใจได้น่า ไม่มีเรื่องอะไรหรอก<br>แต่รอจนเหงกแล้วเนี่ย+<br>แล้วเป็นไงมั่ง? ไปได้สวยปะ?"""
text04#0,"""เสร็จเรียบร้อย<br>แถมราบรื่นกว่าตอนไปกับใครก็ไม่รู้ตั้งหลายเท่าด้วยล่ะ<br>"""
text05#0,"""นี่นี่+<br>อย่าว่าตัวเองแบบนั้นสิ มันดูไม่ดีนะ+"""
text06#0,"""...ไว้แยกกันสักครั้งเดี๋ยวก็รู้<br>ว่าชั้นต้องพยายามเพื่อใครขนาดไหนน่ะนะ..."""
text01#1,"""パティちゃん、ただいま。<br>ちゃんと大人しくしてた？<br>ヘンな人についていってない？"""
11_voice_NPC_5013_104#1,"""……なんで任務に行ってたティアに<br>休んでたあたしが心配されるのかな？<br>ふつう逆だよね？"""
text03#1,"""ともあれ、こっちはなーんにもなし。<br>待ちくたびれて逆に疲れたよー！<br>ティアはどう？\u3000どうだった？"""
text04#1,"""こっちは完璧。<br>やっぱりどこかのだれかさんとは<br>動きもレベルも段違い、だからね。"""
text05#1,"""このこのー！<br>そんなに自分を卑下しちゃダメだぞー！"""
text06#1,"""……一度離れてみるとよくわかる。<br>私、結構頑張って相手してるんだ……"""
