11_voice_NPC_5050_101#0,"""โอเค ตอนนี้ข้าได้รับรายงานของท่านแล้ว <br>แต่เรายังมองสิ่งที่ยิ่งใหญ่กว่าอยู่"""
text02#0,"""นั่นคือสิ่งที่ ARKS Code บอกให้ข้าพูด <br>แต่ข้าจะขอพูดเป็นการส่วนตัวนะ"""
text03#0,"""การไม่จำกัดการเข้าถึงฟังดูดีนะ <br>แต่มันก็ไม่สามารถรับประกันความปลอดภัยได้ <br>ความจริงแล้วท่านอาจจะเข้าสู่พื้นที่ๆอันตรายมาก"""
text04#0,"""นั่นคือเหตุผลที่ท่านต้องเตรียมตัวอยู่ตลอด"""
text05#0,"""การสำรวจอย่างอิสระจะอนุญาติให้เฉพาะ<br>ผู้ที่สามารถรับมือกับความอันตราย<br>ต่างๆ ได้เป็นอย่างดี """
text100#0,"""เกี่ยวกับ [การโจมตีด้วยธาตุของศัตรู]"""
text101#0,"""ข้อมูลเกี่ยวกับ [การโจมตีด้วยธาตุของศัตรู]<br>ศัตรูนั้น มีบางชนิดที่สามารถโจมตี [ติดธาตุ] ได้<br><br>ตัวอย่างเช่น Vol Dragon ซึ่งอยู่ใน VolcanoArea นั้น<br>สามารถโจมตีด้วย [ธาตุไฟ] ที่รุนแรงได้"""
text102#0,"""หากสวมใส่อุปกรณ์ป้องกันที่มีความสามารถในการต้านทานการโจมตีด้วยธาตุนั้นๆของศัตรูได้<br>ก็จะช่วยลดอาการบาดเจ็บจากธาตุนั้นๆได้อย่างมากทีเดียว"""
text103#0,"""ลองใส่ [Sub / FlameResist a] ที่ได้รับจาก Cofy<br>แล้วสังเกตความเปลี่ยนแปลงที่เกิดขึ้นดูสิ"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>自由探索許可の申請も滞りなく。<br>より一層の活躍を期待します。"""
text02#1,"""……とまあ、規定の報告文は<br>このような感じで締められています。<br>そのため、ここからは私の言葉です。"""
text03#1,"""自由行動と言えば聞こえがいいですが<br>安全が保証されていないエリアへ<br>立ち入ってしまう危険性もあります。"""
text04#1,"""貴方の無事を祈り、私からユニットと<br>簡単な助言を送ります。"""
text05#1,"""生半可な実力では得られない許可です。<br>その意味とその意義を踏まえ、どうか<br>ご自身の身を大事に考えてください。"""
text100#1,"""『エネミーの攻撃属性』について"""
text101#1,"""エネミーの攻撃属性について説明します。<br>エネミーの攻撃には<br>「属性」を持つものが存在します。<br><br>「火山洞窟探索」に出現する「ヴォル・ドラゴン」は<br>強力な「炎属性」の攻撃を多用します。"""
text102#1,"""「属性」のある攻撃のダメージを軽減するには<br>炎耐性など、属性の耐性を持ったユニットを<br>装備することが有効な手段となります。"""
text103#1,"""コフィーから渡された<br>「サブ/フレイムレジストａ」を装備して<br>有利な状況を作り出しましょう。"""
