name01#0,"""シエラ"""
text01#0,"""<red>チェイントリガー<c>について<br>説明します！"""
text02#0,"""チェイントリガー発動中は<br>通常攻撃のヒット数がカウントされ<br>チェイン数が増加していきます。"""
text03#0,"""チェイン数をためて、フォトンアーツや<br>チャージテクニックを当てると<br><red>チェインフィニッシュ！<c>"""
text04#0,"""<red>チェイン数に応じた<br>大ダメージ<c>を与えることができます！"""
text05#0,"""それでは、チェイン数を10以上溜めて<br>チェインフィニッシュを<br>決めてみましょう。"""
text101#0,"""課題３：<yellow>チェインを10以上ためてチェインフィニッシュ"""
train_title#0,"""課題３：<yellow>チェインを10以上ためてチェインフィニッシュ"""
tut_title#0,"""『チェインフィニッシュ』について"""
text100#0,"""・サブパレットからチェイントリガー発動<br>・通常攻撃をあててチェイン数をためる<br>・<%PhotonArts>でフォトンアーツをあてると、チェインフィニッシュ"""
text100_3b#0,"""・サブパレットからチェイントリガー発動<br>・通常攻撃をあててチェイン数をためる<br>・<%PhotonArts>でフォトンアーツをあてると、チェインフィニッシュ"""
tut_win_title#0,"""『チェインフィニッシュ』について"""
tut_win_text100#0,"""チェイントリガー発動中は<br>通常攻撃のヒット数がカウントされ<br>チェイン数が増加していきます。<br><br>スキル使用者がＰＡまたはチャージ<br>テクニックをヒットさせると<br>チェインフィニッシュとなります。<br><br>チェインフィニッシュ中は<br>チェイン数に応じて<br>与えるダメージが増加します。"""
