Begin#0,"""เริ่ม 5008"""
Success#0,"""สำเร็จ 5008"""
Failure#0,"""ล้มเหลว 5008"""
Dead#0,"""ตนเองเสียชีวิต 5008"""
BuddyDead#0,"""Partner เสียชีวิต 5008"""
Evolution#0,"""พัฒนา 5008"""
Begin#1,"""開始5008"""
Success#1,"""成功5008"""
Failure#1,"""失敗5008"""
Dead#1,"""自分死亡5008"""
BuddyDead#1,"""相手死亡5008"""
Evolution#1,"""発展5008"""
Begin#2,"""/mn9 /ci2 อ๊า คู่หู มาพอดีเลย!<br>ช่วยร่วมมือกับข้าทีสิ!<br>ข้ากำลังหาของอยู่ดีๆ ก็ดันถูกล้อมซะได้น่ะ!"""
Success#2,"""/mn38 /ci2 t5 คู่หู ขอบใจนะ! ช่วยข้าได้มากเลย!<br>เอาล่ะ ถ้าอย่างนั้นข้าจะกลับไปตามหา<br>ร้านเค้กต่อเลยดีมั้ยนะ"""
Failure#2,"""/moya /mn7 ......โทษทีนะ คู่หู<br>ดูท่าทางว่า ข้าจะสู้มากกว่านี้ไม่ไหวแล้ว<br>ข้าขอถอนตัวกลับออกไปก่อนล่ะ"""
Dead#2,"""/mn13 ตราบใดที่ยังไม่เจอร้านเค้ก<br>ข้าจะมาล้มอยู่ตรงนี้ไม่......"""
BuddyDead#2,"""/mn2 /ci4 4 t5 Iio!<br>เธออย่าฝืนเลย ไปพักซะก่อนเถอะ!"""
Begin#3,"""/mn9 /ci2 ああっ相棒、いいとこに！<br>ちょっと協力してくれ！<br>探し物してたら囲まれたんだ！"""
Success#3,"""/mn38 /ci2 t5 相棒、ありがとな！\u3000助かった！<br>さて、それじゃ引き続きケーキ屋の<br>捜索といきますか。"""
Failure#3,"""/moya /mn7 ……悪い、相棒。<br>おれ、これ以上は厳しいみたいだ。<br>お先に退かせてもらうな。"""
Dead#3,"""/mn13 ケーキ屋を見つけられないまま<br>倒れるわけには……"""
BuddyDead#3,"""/mn2 /ci4 4 t5 イオ！<br>無理せず休んどけって！"""
