ScratchMenue_Title#0,"""スクラッチを引く"""
ScratchMenue_Help#0,"""対応した通貨、チケットでスクラッチを購入し景品を入手できます。"""
ScratchChoice_Title#0,"""スクラッチ選択"""
ScratchChoice_Possession#0,"""所持金"""
ScratchChoice__FreebieListButton#0,"""景品リスト"""
ScratchChoice__PossessionTicket#0,"""所持スクラッチ券"""
ScratchChoice__PossessionTicketCount#0,"""$(0)枚"""
ScratchChoice__StepUp1#0,"""１周"""
ScratchChoice__StepUp2#0,"""２周"""
ScratchChoice__StepUp3#0,"""３周"""
ScratchChoice_IncentiveTicketName#0,"""スペシャルスクラッチ券"""
ScratchChoice_IncentiveTicketCount#0,"""$(0)枚"""
ScratchChoice__BuyScratchAC#0,"""ACで$(1)回引く<br>$(0)<pict 4space><pict ac_icon_22>"""
ScratchChoice__BuyScratchSG#0,"""SGで$(1)回引く<br>$(0)<pict 4space><pict sg_icon_22>"""
ScratchChoice__BuyScratchTicket#0,"""スクラッチ券で<br>$(1)回引く<br>必要数：$(0)枚"""
ScratchChoice__BuyScratchNoCharge#0,"""無料で$(0)回引く<br>毎日<utc>15:00</utc>にリセット"""
ScratchChoice__BuyScratchNoCharge_AddPlayLimit#0,"""$(0)<br>残り回数：$(1)回"""
ScratchChoice__BuyScratchNoChargeFTAC#0,"""無料で$(0)回引く"""
ScratchChoice__CountBonus#0,"""あと$(0)回でプレゼント！"""
ScratchChoice__CouponButton#0,"""引換券交換<br>$(0)"""
ScratchChoice__ScratchCategory_AC#0,"""ACスクラッチ"""
ScratchChoice__ScratchCategory_SG#0,"""SGスクラッチ"""
ScratchChoice__ScratchCategory_Ticket#0,"""スペシャルスクラッチ"""
ScratchChoice__ScratchCategory_NoCharge#0,"""無料スクラッチ"""
ScratchChoice__ScratchCategory_StepUp#0,"""ステップアップ"""
ScratchChoice_ConfirmationAC#0,"""<pict Arcscash>AC消費コンテンツ<br>$(1)を<br>$(0)ACで購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationSG#0,"""<pict StarGem>SG消費コンテンツ<br>$(1)を<br>$(0)SGで購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationTicket#0,"""$(1)を<br>スクラッチ券$(0)枚で購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationNoCharge#0,"""$(0)を<br>一回、無料で引きます。<br>※毎日、<utc>15:00</utc>に引けます。<br>よろしいですか？"""
ScratchChoice_ConfirmationNoChargeFTAC#0,"""$(1)を<br>$(0)回、無料で引きます。<br>よろしいですか？"""
ScratchChoice_ConfirmationACre#0,"""<pict Arcscash>AC消費コンテンツ<br>続けて$(1)を<br>$(0)ACで購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationSGre#0,"""<pict StarGem>SG消費コンテンツ<br>続けて$(1)を<br>$(0)SGで購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationTicketRe#0,"""続けて$(1)を<br>スクラッチ券$(0)枚で購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationNoChargeRe#0,"""続けて$(0)を<br>一回、無料で引きます。<br>※毎日、<utc>15:00</utc>に引けます。<br>よろしいですか？"""
ScratchResult_Title#0,"""スクラッチ結果"""
ScratchResult_Explanation#0,"""以下の景品が当たりました！<br>「スクラッチ倉庫」にからお受取りください。<br><yellow>※受け取りに有効期限がありますので<br>\u3000ご注意ください。<c>"""
ScratchResult_UseTicket_Title#0,"""チケット使用確認"""
ScratchResult_UseTicket_Mess#0,"""選択したアイテムを使用します。<br>よろしいですか？"""
ScratchResult_UseTicket_Mess_NoUse#0,"""以下のチケットアイテムを使用できます。<br>このまま使用しますか？<br><br>※リストから選択し、1つずつ使用することもできます。"""
ScratchResult_1UseTicket_Mess#0,"""$(0)を使用することができます。<br>このまま使用しますか？"""
ScratchResult_UseTicket_AllUse#0,"""すべて使う"""
ScratchResult_AllUseTicket_Title#0,"""チケット使用確認"""
ScratchResult_AllUseTicket_Mess#0,"""使用可能なチケットアイテムをすべて使用します。<br>よろしいですか？"""
ScratchError_StorageMax_Title#0,"""スクラッチ倉庫容量不足"""
ScratchError_StorageMax_Mess#0,"""スクラッチ倉庫の容量がいっぱいのため<br>スクラッチを購入できません。<br><br>スクラッチ倉庫から景品を受け取ってから<br>再度購入してください。"""
ScratchError_AC_Shortage_Title#0,"""所持AC不足"""
ScratchError_AC_Shortage_Mess#0,"""ACが不足しているため<br>購入できません。<br><br>ACを購入しますか？"""
ScratchError_SG_Shortage_Title#0,"""所持SG不足"""
ScratchError_SG_Shortage_Mess#0,"""SGが不足しているため<br>購入できません。<br><br>SGを購入しますか？"""
ScratchError_Ticket_Shortage_Title#0,"""所持チケット不足"""
ScratchError_Ticket_Shortage_Mess#0,"""対象のスクラッチ券が不足しているため<br>購入できません。"""
ScratchError_FirstTime_Mess#0,"""先に初回無料ACスクラッチを引いてください。"""
ScratchPrizeList_Title#0,"""景品リスト"""
ScratchPrizeList_PrizeItem#0,"""景品アイテム"""
ScratchPrizeList_EmissionRate#0,"""排出率"""
Bonus_Title#0,"""回数ボーナス確認"""
Bonus_Text01#0,"""このスクラッチを引いた回数"""
Bonus_Text02#0,"""<$Count>回"""
Bonus_Text03#0,"""すべて獲得すると、獲得状況がリセットされ<br>また回数ボーナスを受け取ることができます。"""
PrizeChange_Check_Title#0,"""交換券消費確認"""
PrizeChange_Check_Mess01#0,"""$(2)×1<br>と、$(0)を交換します。<br>よろしいですか？<br>※以下のアイテム以外は消費されません。<br><br>（所持交換チケット：$(1)枚）"""
PrizeChange_Check_Complete#0,"""景品と交換が完了しました。"""
PrizeChange_Check_Error#0,"""アイテムパックの空き容量不足<br>または所持数の限界を超えているため<br>交換できませんでした。"""
PrizeChange_Check_Error02#0,"""現在、選択したスクラッチは購入できません。<br>詳細はプレイヤーズサイトをご確認ください。"""
EmissionParcent#0,"""$(0)%"""
ScratchLabelBonus#0,"""ボーナス"""
ScratchLabelStage1#0,"""1周目"""
ScratchLabelStage2#0,"""2周目以降"""
AllUse#0,"""すべて使う"""
Title_scratch#0,"""獲得アイテム一覧"""
Title_useitem#0,"""アイテム使用"""
scratch_message#0,"""以下の景品が当たりました！"""
bonus_message#0,"""「1周目」の報酬をすべて獲得すると、「2周目以降」に進みます。<br>「2周目以降」は、繰り返し報酬を獲得できます。"""
useitem_message#0,"""使用可能な獲得チケットアイテムを、すべて使用しますか？<br>アイテムを選択して、１つずつ使用することもできます。<br><yellow>※倉庫に送られたアイテムは表示されません。<c>"""
useitem_message2#0,"""使用可能な獲得チケットアイテムを、すべて使用しますか？<br>アイテムを選択して、１つずつ使用することもできます。"""
Tags01#0,"""イチオシ！"""
Tags02#0,"""人気！"""
Tags03#0,"""ボーナス！"""
Tags04#0,"""陳列終了予定"""
GachaBonusCommentNothing_re#0,"""このスクラッチは<br>回数ボーナスがありません。"""
GachaBonusCommentAchieved_re#0,"""このスクラッチの<br>回数ボーナスは獲得済みです。"""
ScratchChoice_LimitedTime#0,"""陳列期限"""
ScratchStep_CurrentStep#0,"""現在のステップ"""
ScratchStep_CurrentStep2#0,"""Step.$(0)（現在のステップ）"""
ScratchStep_Step#0,"""Step.$(0)"""
ScratchStep_CurrentStepBonus#0,"""<c 97e2fc>現在のステップボーナス<c><br>$(0)"""
ScratchStep_Bonus01#0,"""効果無し"""
ScratchStep_Bonus02#0,"""イチオシ景品入手確率UP($(0)倍)"""
ScratchStepBonus_Title#0,"""ステップボーナス確認"""
ScratchStepBonus_Text#0,"""スクラッチを引いた回数に応じてステップが上がります。<br>現在のステップ数に応じてステップボーナスが発生します。"""
ScratchSearchTitle#0,"""カテゴリーの設定"""
ScratchSearchItem_1#0,"""すべて表示"""
ScratchSearchItem_2#0,"""アウターウェア"""
ScratchSearchItem_3#0,"""ベースウェア/セットウェア"""
ScratchSearchItem_4#0,"""インナーウェア"""
ScratchSearchItem_5#0,"""ヘアスタイル"""
ScratchSearchItem_6#0,"""アクセサリー"""
ScratchSearchItem_7#0,"""ボディペイント"""
ScratchSearchItem_8#0,"""コスチューム"""
ScratchSearchItem_9#0,"""ボディパーツ"""
ScratchSearchItem_10#0,"""アームパーツ"""
ScratchSearchItem_11#0,"""レッグパーツ"""
ScratchSearchItem_12#0,"""ヘッドパーツ"""
ScratchSearchItem_13#0,"""武器迷彩"""
ScratchSearchItem_14#0,"""消費アイテム"""
ScratchSearchItem_15#0,"""その他"""
ScratchSearchItem_none#0,"""対象のアイテムがありません"""
ScratchSearchItem_16#0,"""ビルドパーツ"""
ScratchSearchItem_17#0,"""ポータブルホログラム"""
Title#0,"""スクラッチ倉庫"""
Header_ItemName#0,"""アイテム名"""
Header_SavePeriod#0,"""保存期限"""
Sort_Save#0,"""保存期限"""
Sort_Reality#0,"""レアリティ"""
Sort_Costume#0,"""コスチューム/パーツ"""
Sort_Camouflage#0,"""武器迷彩"""
Sort_Consumables#0,"""消費アイテム"""
Sort_etr#0,"""その他"""
ReceiveButton#0,"""すべて受け取る"""
SavePeriodNote_Title#0,"""保存期限"""
SavePeriodNote_Header1#0,"""保存期限が切れたアイテムについて"""
SavePeriodNote_Header1Mess#0,"""スクラッチ倉庫は、<yellow>格納された<br>アイテムそれぞれに保存期限があります。<c><br>保存期限を過ぎたアイテムは<br>「リサイクルポイント」に自動変換されます。<br>アイテムは必ず受け取るようにお願いします。"""
SavePeriodNote_Header2#0,"""リサイクルポイントの変換"""
SavePeriodNote_Header2Mess#0,"""景品に対応したスクラッチ1回分に変換"""
StorageCheck_Title#0,"""受け取り倉庫確認"""
StorageCheck_Mess#0,"""$(0)個のアイテムの受け取り先を選択してください。<br><yellow>※多すぎる場合、受け取れる分だけ受け取ります。<c>"""
StorageCheck_BuckButton#0,"""戻る"""
StorageCheck_GetPrize#0,"""アイテムを受け取りました。"""
StorageCheck_MaxError#0,"""受け取り先に空きがないため、アイテムを受け取れません。<br>空いている受け取り先を選択するか<br>アイテムを整理してください。"""
StorageCheck_GetPrize2#0,"""一部受け取れないアイテムがありました。"""
ChangePoint_Title#0,"""スクラッチ"""
ChangePoint_Text01#0,"""受け取り期限が過ぎたため<br>以下のアイテムをリサイクルポイントに変換しました。"""
ChangePoint_Text02#0,"""景品名"""
ChangePoint_Text03#0,"""保存期間"""
ChangePoint_Text04#0,"""ポイント"""
ChangePoint_Text05#0,"""$(0)まで"""
ChangePoint_CloseButton#0,"""閉じる"""
ChangePoint_mess01#0,"""スクラッチ倉庫に未受け取りアイテムがあります。"""
ChangePoint_mess02#0,"""スクラッチ倉庫に<pure_red>受取期限が近い未受け取りアイテム<c>があります。"""
