un_013110_0010#0,"""อา เธอนี่เอง<br>ดูเหมือนว่าเรื่องที่ Naberius ก่อนหน้านี้<br>จะเป็นเรื่องใหญ่เลยล่ะสิ เหนื่อยหน่อยนะ"""
un_013110_0020#0,"""ชั้นได้ยินข่าวลือมาว่า ครั้งนี้คิดจะจัดงาน<br>ชุมนุมสังสรรค์ที่คล้ายๆ กับงานประลอง<br>ฝีมือ ARKS ทั้งหมดขึ้นมาสินะ"""
un_013110_0030#0,"""ไม่ใช่แค่ประลองฝีมือเท่านั้นแต่ผู้ที่ไม่<br>เข้าร่วมเองก็สามารถทำอะไรบางอย่างได้ด้วย<br>เนื้อแท้แล้วก็เป็นงานเทศกาลดีๆ นี่เอง"""
un_013110_0040#0,"""ให้ตายสิ สบายๆ กันซะจริงนะ<br>แต่เอาเถอะยังไงก็ไม่เกี่ยวกับชั้น<br>และชั้นก็ไม่ได้สนใจอยู่แล้ว"""
un_013110_0050#0,"""แล้ว... งานจะจัดเมื่อไหร่ล่ะ?<br>......ยังไม่ได้ตัดสินใจ?<br>ให้ตายสิ วางแผนงานกันได้แย่จริงๆ"""
un_013110_0060#0,"""แล้วข้อมูลในส่วนที่ว่าพวกที่<br>ไม่เข้าร่วมจะสามารถร่วมสนุก<br>ด้วยได้ยังไงล่ะ?"""
un_013110_0070#0,"""......เรื่องนั้นก็ยังไม่ได้ตัดสินใจ?<br>นี่ไม่ได้ใส่ใจวางแผนอะไรกันเลยไม่ใช่เหรอเนี่ย"""
un_013110_0080#0,"""......อะไรนะ? ชั้นไม่ได้สนใจซักหน่อย<br>ชั้นบอกไปแล้วไม่ใช่เหรอ<br>ว่ามันไม่ได้เกี่ยวกับชั้น"""
un_013110_0010#1,"""ああ、あなたか。<br>この前のナベリウスでは<br>大変だったみたいね。お疲れ様。"""
un_013110_0020#1,"""なんか、噂に聞いたんだけど<br>今度アークス全体で戦技大会のような<br>催し物を開くそうね。"""
un_013110_0030#1,"""能力の競い合いだけじゃなくて<br>不参加者も何かやったりするんでしょ。<br>実質、お祭り騒ぎじゃない。"""
un_013110_0040#1,"""まったく、気楽なものよね。<br>ま、あたしには関係ないし<br>興味もないけどね。"""
un_013110_0050#1,"""で、いつごろからやるの？<br>……まだ決まってないの？<br>まったく、段取りが悪いわね。"""
un_013110_0060#1,"""それで、不参加者をどうやって<br>楽しませるつもりなのか<br>その辺の情報は？"""
un_013110_0070#1,"""……それも決まってないの？<br>あきれた、完全に見切り発車じゃない。"""
un_013110_0080#1,"""……何？\u3000興味ないわよ。<br>あたしには関係ない、って<br>言ったでしょ。"""
