NoLimit#0,"""制限無し"""
LimitedByAccount#0,"""アカウント$(0)回限り"""
LimitedByCharacter#0,"""キャラクター$(0)回限り"""
LimitedByAccount_Resettime#0,"""<yellow>$(0)に再受注可能です。<c>"""
LimitedByAccount_RepeatSelectTask#0,"""アカウントごと"""
LimitedByCharacter_RepeatSelectTask#0,"""キャラクターごと"""
template_enemy#0,"""$(0)を$(1)体倒す。"""
template_CollisionAccess#0,"""%(CollisionId)に行く"""
template_GatheringPlayed#0,"""%(ObjectId)を%(num)個集める"""
template_NpcTalk#0,"""%(NpcId)に話す"""
template_QuestClear#0,"""%(QuestNo)<br>をクリアする"""
template_QuestClear_RankS#0,"""%(QuestNo)<br>をSランクでクリアする"""
template_EnemyKill#0,"""%(EnemyName)を%(num)体倒す"""
location_guide_arrival#0,"""小目標“$(0)”の進行可能エリアに入りました。"""
location_guide_leave#0,"""小目標“$(0)”の進行可能エリアから出ました。"""
recommend_focus_main_task#0,"""新たなメインタスクを受注しました。<br>タスク一覧でガイド情報を表示してください。"""
acquired_reward_items#0,"""報酬アイテムを獲得しました。"""
discarded_task#0,"""タスク“$(0)”を破棄しました。"""
discarded_task_error#0,"""タスク“$(0)”の破棄に失敗しました。"""
subobjective_progress_fifty_percent#0,"""小目標“$(0)”の進捗が50%以上になりました。"""
subobjective_progress_eighty_percent#0,"""小目標“$(0)”の進捗が80%以上になりました。"""
subobjective_appeared#0,"""小目標“$(0)”が発生しました。"""
subobjective_achieved#0,"""小目標“$(0)”を達成しました。"""
multi_tasks_accepted#0,"""複数のタスクを受注しました。"""
task_accepted#0,"""タスク“$(0)”を受注しました。"""
focused_task#0,"""タスク“$(0)”のガイド情報を表示しました。"""
focused_task_error#0,"""タスク“$(0)”のガイド情報を表示できませんでした。"""
cancelled_focus_task#0,"""タスク“$(0)”のガイド情報を非表示にしました。"""
cancelled_focus_task_error#0,"""タスク“$(0)”のガイド情報を非表示にできませんでした。"""
accomplished_task#0,"""タスク“$(0)”を達成しました。"""
accepted_task_error#0,"""タスク“$(0)”は受注出来ませんでした。"""
quest_focus_task_cannot#0,"""クエスト進行中は、ガイド情報の表示設定が切り替えられません。"""
task_unknown_error#0,"""不明なエラーです。"""
task_order_expired#0,"""タスクの達成期限が切れているので実行できません。"""
task_order_restrictions_error#0,"""受注上限を超えているため受注できません。"""
task_order_unfulfilled#0,"""未達成の期間限定タスクが残っています。"""
