name01#0,"""Barbara"""
name01#1,"""バルバラ"""
text00#0,"""มาแล้วเหรอ กำลังรออยู่เลย<br>ใช้ได้ใช้ได้<br>งั้นไปก่อนนะ"""
text01#0,"""ขอบใจมาก<br>เหมือนที่สั่งเป๊ะเลยนะ<br>ช่วยได้มากเลยล่ะ"""
text02#0,"""โอเคไม่มีปัญหา<br>เอาเป็นว่ารับงานเรียบร้อยแล้วนะ<br>ขอตัวก่อนล่ะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""来たわね、待っていたわよ。<br>いい出来だわ。<br>それじゃ、また。"""
text01#1,"""ご苦労様。<br>依頼した通りね。<br>助かったわ。"""
text02#1,"""問題なさそうね。<br>この依頼は完了としましょう。<br>それじゃあね。"""
text03#1,"""ありがとう03"""
text00#2,"""เยี่ยมมาก นี่มันของชั้นหนึ่งเลย<br>ไม่นึกว่าจะทำได้ขนาดนี้<br>งั้นไปนะ ไว้เจอกัน"""
text01#2,"""สมบูรณ์แบบ<br>ไม่มีตำหนิเลยจริงๆ<br>งั้นไว้เจอกันใหม่นะ"""
text02#2,"""ดีกว่าที่สั่งซะอีกนะ<br>ยอดเยี่ยมสมบูรณ์แบบมากๆ<br>ไว้มีโอกาสจะมาขอให้ช่วยใหม่นะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""お見事、素晴らしい品だわ。<br>まさか、ここまでとはね。<br>それじゃ、次もよろしくね。"""
text01#3,"""完璧ね。<br>非の打ち所がない品だわ。<br>また次もよろしくね。"""
text02#3,"""依頼以上の品ね。<br>完璧な素晴らしい成果だわ。<br>ぜひ次もお願いしたいわ。"""
text03#3,"""本当にありがとう03"""
