un_065170_0010#0,"""この前のお弁当、おいしかったね！<br>「きゃべつ弁当」！"""
un_065170_0020#0,"""「キャビア弁当」ね。"""
un_065170_0030#0,"""学園の復興を手伝ってくれる人たちに<br>配るお弁当としては、おかしいけど。"""
un_065170_0040#0,"""なんでかなー。わたしはちゃんと<br>普通の仕出し弁当を発注したはず<br>なんだけど……"""
un_065170_0050#0,"""ありがとう、コオリ！<br>ぼく、おいしいお弁当が食べられて<br>すっごくうれしかった！"""
un_065170_0060#0,"""はああん、アルくん優しすぎだよお。<br>じゃあ今度は、もーっと美味しいものを<br>うっかり頼んじゃうから！"""
un_065170_0070#0,"""やめなさい……そもそも<br>だれ向けなのよ「キャビア弁当」って。<br>そんなの、あの変態社長ぐらいしか……"""
un_065170_0080#0,"""呼んだかい？"""
un_065170_0090#0,"""帰り道はあっち。"""
un_065170_0100#0,"""相変わらず辛辣だね！"""
un_065170_0110#0,"""キミたちがさんざん<br>「金だけ支援」とか何とか責めるから<br>現場で弁当の指示までしているのに！"""
un_065170_0120#0,"""ん？\u3000まさか……<br>コオリが発注した弁当を<br>勝手に変更したのは……"""
un_065170_0130#0,"""何を隠そう、この私さ！<br>礼には及ばないよ。"""
un_065170_0140#0,"""やっぱり、あんたの仕業か！"""
un_065170_0150#0,"""でも、あのお弁当<br>すっごくおいしかった！"""
un_065170_0160#0,"""それは光栄だね！"""
un_065170_0170#0,"""そうそう、今日は試してもらいたい<br>新作アプリがあって来たんだ。"""
un_065170_0180#0,"""我が社で開発中の<br>撮影した相手の妄想を映像化して遊べる<br>「Realization」のモニターを……"""
un_065170_0190#0,"""はいはいっ！\u3000やります！"""
un_065170_0200#0,"""コオリ、食いつきすぎ！"""
un_065170_0210#0,"""ぼくもやりたい！"""
un_065170_0220#0,"""アルはだめ！<br>変態がうつるわよ！"""
un_065170_0230#0,"""辛辣さに磨きがかかってきたね！"""
un_065170_0240#0,"""こ、これでヒツギちゃんを撮れば<br>ヒツギちゃんの妄想がっ……！"""
un_065170_0250#0,"""やだ、やめて、コオリ……<br>来ないで……！"""
un_065170_0260#0,"""うへへへへ……<br>ヒツギちゃんの妄想、イタダキ！<br>って、あれ……？"""
un_065170_0270#0,"""コオリ、それレンズの向き反対。<br>自分の妄想を撮ってどうするのよ……"""
un_065170_0280#0,"""か、貸しなさい、コオリ！<br>アルは見ちゃダメよ！"""
un_065170_0290#0,"""なるほど……<br>さすがは私のアプリ、コオリくんの<br>妄想の映像化に成功したようだ。"""
un_065170_0300#0,"""ほら、見たまえ。<br>キミたち３人が仲むつまじく……"""
un_065170_0310#0,"""ふざけんじゃないわよ！<br>こんな不純なアプリ、配信できるか！<br>今すぐ、計画を中止しなさい！"""
un_065170_0320#0,"""ねえ、何が写ってたの？"""
un_065170_0330#0,"""アルくんには、まだ早いかなー？<br>あ、あとでこっそり映像もらわないと。"""
un_065170_0340#0,"""……みんな、楽しそう。<br>いろいろあったけど……また昔みたいに<br>みんなで笑えるようになって、よかった。"""
un_065170_0350#0,"""うん。復興も順調だし<br>ようやく、たどり着いたって感じ。<br>……平和って、いいね。"""
un_065170_0360#0,"""うん！<br><%me>と、<br>みんなのおかげだね！"""
un_065170_0370#0,"""全員でつかんだ平和ですよ。<br>アルくんも含めて……ですよね？"""
