11_voice_NPC_5020_101#0,"""โย่ว มาได้จังหวะพอดีเลยนะ"""
Oza_favs_before_020#0,"""ถ้าไม่รังเกียจ ช่วยรับนี่ไว้ทีสิ<br>น่ะ ไม่ต้องเกรงใจหรอก"""
Oza_favs_after_010#0,"""เป็นของแทนคำขอบคุณเรื่องที่ผ่านๆมาไง<br>ถึงบอกไม่ต้องคิดมาก"""
Oza_favs_after_020#0,"""แค่ท่านยอมฟังเวลาข้ามีเรื่องอยากเล่า<br>ก็ช่วยข้าได้มากแล้วรู้ปะ?"""
11_voice_NPC_5020_101#1,"""よう、いいところに来てくれたな。"""
Oza_favs_before_020#1,"""よければ、これを<br>受け取ってくれないか。<br>さあ、遠慮せずに。"""
Oza_favs_after_010#1,"""日頃の感謝を表しただけだ。<br>そう気にするな。"""
Oza_favs_after_020#1,"""お前には、話を聞いてもらったりして<br>オレも助かってるんだぞ？"""
Oza_favs_present_010#0,"""Oza มอบ [Element Synthesizer] ให้กับคุณ"""
Oza_favs_present_020#0,"""Oza มอบ [Rising Flag] ให้กับคุณ"""
Oza_favs_present_030#0,"""Oza มอบ [Peak-Up Throw] ให้กับคุณ"""
Oza_favs_present_040#0,"""Oza มอบ [Elemental Synthesizer] ให้กับคุณ"""
Oza_favs_present_050#0,"""Oza มอบ [Slide Shaker] ให้กับคุณ"""
Oza_favs_present_060#0,"""Oza มอบ [Speed Rain] ให้กับคุณ"""
Oza_favs_present_070#0,"""Oza มอบ [Elemental Synthesizer] ให้กับคุณ"""
Oza_favs_present_080#0,"""Oza มอบ [Trick Rave] ให้กับคุณ"""
Oza_favs_present_090#0,"""Oza มอบ [Bandersnatch] ให้กับคุณ"""
Oza_favs_present_100#0,"""Oza มอบ [Elemental Synthesizer] ให้กับคุณ"""
Oza_favs_present_010#1,"""オーザから『シンセサイザー』を受け取りました。"""
Oza_favs_present_020#1,"""オーザから『ライジングフラッグ』を受け取りました。"""
Oza_favs_present_030#1,"""オーザから『ピークアップスロー』を受け取りました。"""
Oza_favs_present_040#1,"""オーザから『シンセサイザー』を受け取りました。"""
Oza_favs_present_050#1,"""オーザから『スライドシェイカー』を受け取りました。"""
Oza_favs_present_060#1,"""オーザから『スピードレイン』を受け取りました。"""
Oza_favs_present_070#1,"""オーザから『シンセサイザー』を受け取りました。"""
Oza_favs_present_080#1,"""オーザから『トリックレイヴ』を受け取りました。"""
Oza_favs_present_090#1,"""オーザから『バンタースナッチ』を受け取りました。"""
Oza_favs_present_100#1,"""オーザから『シンセサイザー』を受け取りました。"""
11_voice_NPC_5020_100#0,"""โย่ว สบายดีป่าว<br>อุตส่าห์ได้เป็น ARKS ทั้งที ต้องฝึกฝนอย่าให้ขาดรู้มั้ย !"""
11_voice_NPC_5020_100#1,"""よう、元気でやってるか。<br>アークスたるもの<br>日々鍛錬を怠るなよ！"""
11_voice_NPC_5020_101#2,"""Hunter นี่แหละสุดยอด !<br>ยิ่งฝึกฝนเท่าไหร่<br>ผลของการฝึกก็ยิ่งเปล่งประกายออกมาเท่านั้น !"""
11_voice_NPC_5020_101#3,"""ハンターはいいぞ！<br>鍛えれば鍛えるほど、その効果を<br>この手で実感できるからな！"""
11_voice_NPC_5020_100#2,"""เวลาต้องสู้กับพวก Darker นี่แหละเหนื่อยที่สุด<br>ต้องเตรียมตัวให้พร้อมและพักผ่อนให้เต็มที่ไว้เลย<br>เพราะถ้าสู้แล้วไม่รู้ว่าจะต้องสู้กับพวกมันจนถึงเมื่อไหร่"""
11_voice_NPC_5020_100#3,"""ダーカーとの戦いは苛烈だ。<br>長く続くものでもあるからこそ<br>自己研鑽と休息を大事にするんだぞ。"""
11_voice_NPC_5020_100#4,"""หน้าที่ของ Hunter คือ ล่อศัตรูเอาไว้<br>แล้วเปิดทางให้กับทุกคน !<br>มีแค่นี้แหละหมดแล้ว...นี่พูดจริงนะ"""
11_voice_NPC_5020_100#5,"""敵の矢面に立ち、道を切り開くのが<br>ハンターの役割であり義務！<br>そこに他意などはない……本当だぞ？"""
11_voice_NPC_5020_101#4,"""เวลาที่ Hunter จะแสดงฝีมือได้ดีที่สุด ก็คือการสู้ระยะ<br>ประชิด ด้วยหน้าที่ที่ต้องเสี่ยงชีวิตตลอดเวลานี่แหละ<br>ทำให้อะดรีนาลีนมันวูบ"""
11_voice_NPC_5020_101#5,"""ハンターの華は、やはり近接戦闘！<br>ひりつくような緊張の中での戦いは<br>心震えるものがあるぞ！"""
11_voice_NPC_5020_104#0,"""ทำอะไรคนเดียวมันก็ไปได้สุดแค่ระดับนึง<br>ถ้ารู้ตัวว่าเจอกำแพง<br>ก็เรียกเพื่อนหรือพวกข้ามาช่วยได้เสมอเลยนะ"""
11_voice_NPC_5020_104#1,"""一人で出来ることには限界がある。<br>いざという時は、仲間やオレたちを<br>頼るんだぞ。"""
11_voice_NPC_5020_100#6,"""ที่จริงก็ไม่ค่อยแนะนำให้ทำอะไรคนเดียวหรอกนะ<br>แต่ถ้าหากมันจำเป็นขึ้นมาล่ะก็<br>Hunter นี่แหละ เหมาะสมที่สุด !"""
Oza_07_020#0,"""ทั้งความอึด ทั้งพลังทำลาย !<br>แซงหน้าทุก Class จนที่เหลือต้องอิจฉา !<br>ยังจะมี Class ไหนสุดยอดกว่านี้อีกเล่า !"""
11_voice_NPC_5020_100#7,"""なるべく単独行動はするべきではないが<br>いざ、やらなければならない時には<br>やはりハンターがおすすめだ！"""
