11_voice_NPC_5087_100#0,"""ชั้นชื่อ Azanami รู้จักอยู่แล้วใช่มะ?<br>มาเป็นเพื่อนกันไว้ดีกว่าเนอะ"""
text02#0,"""ถึงฝีมือชั้นจะยังไม่เข้าขั้น<br>แต่ถ้าเรื่องทฤษฏีล่ะก็ ค่อนข้างแน่นเลยล่ะ+"""
text03#0,"""Bullet Bow เป็นอาวุธชนิดใหม่ล่าสุด<br>วิธีใช้ก็ประมาณ สูดลมหายใจแล้วกระหน่ำเข้าไปล่ะมั้ง?<br>อืมม อธิบายปากเปล่าคงไม่ค่อยเห็นภาพอ่ะนะ"""
text04#0,"""เอาเหอะ ลองด้วยตัวเองแหละง่ายสุด...<br>มี Bullet Bow กับเค้ารึยังล่ะ?"""
text05#0,"""ถ้ายังไม่มีระวังจะเชยนะ<br>เอาเป็นว่าข้าให้เอาไปใช้ก่อนละกัน<br>พยายามฝึกให้เก่งๆนะ+"""
text06#0,"""เกี่ยวกับ [Bullet Bow]"""
text07#0,"""ขออธิบายเกี่ยวกับข้อมูลของ [Bullet Bow]<br><br>Bullet Bow เป็นอาวุธที่สามารถจู่โจมได้จากระยะไกล<br>เป็นอาวุธที่เหมาะสำหรับผู้เล่นระดับกลาง"""
text08#0,"""ข้อมูลเกี่ยวกับการโจมตีพื้นฐานและ Photon Move ของ Bullet Bow<br><br>Bullet Bow ไม่ได้มีเพียงการยิงปกติเท่านั้น<br>แต่สามารถชาร์จพลังไว้ เพื่อปล่อยออกมาเป็นการโจมตีระยะกว้างที่รุนแรงได้อีกด้วย"""
11_voice_NPC_5087_100#1,"""わたしはアザナミ。知ってるよね？<br>仲良くしよーよ。"""
text02#1,"""わたしもぺーぺーだけど、知識なら<br>ちょっと自信あるんだー。<br>知識なら！"""
text03#1,"""バレットボウは新しい武器種だけど<br>呼吸を合わせて撃つ、って感じかな？<br>ううん、口だと説明しにくいな……"""
text04#1,"""まー、まずは実際にやってみるのが<br>手っ取り早いんだけど……<br>バレットボウ、持ってる？"""
text05#1,"""まだ流通してから日も浅いしね<br>あたしのおさがりをあげちゃうから<br>それ持って頑張ってみて！"""
text06#1,"""『バレットボウ』について"""
text07#1,"""武器「バレットボウ」について、説明します。<br><br>バレットボウは、離れた場所から攻撃ができる、<br>中級者向けの射撃武器です。"""
text08#1,"""バレットボウ系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>バレットボウはただ発射するだけでなく、<br>長押しすることで力を溜め、威力や効果範囲を高めた<br>チャージ攻撃を行うことができます。"""
