11_voice_NPC_5054_104#0,"""ข้าอบรมเด็กใหม่มาก็มาก ไม่ว่าคนไหน<br>ก็ชอบคิดว่าไรเฟิลช่วยให้ตัวเองเติบโตได้เร็ว<br>เพราะใช้ง่ายและปลอดภัยกับตัวเอง"""
text02#0,"""แต่การโจมตีครั้งแรกไม่ได้เริ่มขึ้นจากการยิงครั้งแรก<br>มันเริ่มจากการยิงถูกเป้าหมายในครั้งแรกต่างหาก"""
text03#0,"""ก่อนที่จะเริ่มการฝึกพิเศษข้าจะบอกท่านเกี่ยวกับ<br>Skill ของ Ranger ให้ฟังไว้ก่อนแล้วกัน"""
text100#0,"""Debilitate Bullet"""
text101#0,"""สกิล [Debilitate Bullet] ของ Ranger จะยิงเป็นรอบๆ<br>จะทำให้ศัตรูอ่อนแอต่อเนื่อง<br>เมื่อท่านเรียน Debilitate แล้ว ให้เพิ่มไปยัง Sub-palette เพื่อใช้มัน"""
text102#0,"""การใช้งาน Debilitate Bullet ต้องโหลด Debilitate Bullet<br>ถึงตามกำหนดและท่านสามารถยิงมันได้จากการโจมตีปกติ <br>โดยจะมีเครื่องหมายแสดงถึงจุดอ่อนของเป้าหมาย<br>หน้าที่ของ Ranger คืออยู่กึ่งกลางของปาร์ตี้และทำให้ปาร์ตี้ปลอดภัย<br>ซึ่งสกิลนี้มีประโยชน์มากๆ"""
11_voice_NPC_5054_104#1,"""私は多くの新人を見てきているが<br>ライフルは引き金を引くだけで簡単に<br>攻撃ができると、みんな考えがちだ。"""
text02#1,"""だが撃つだけでなく当てることで<br>初めて攻撃になる。<br>忘れないでくれたまえ！"""
text03#1,"""特訓を始める前に<br>レンジャーのスキルについて<br>君に伝えておこう。"""
text100#1,"""『ウィークバレット』について"""
text101#1,"""スキル「ウィークバレット」について、説明します。<br><br>レンジャーのスキルであるウィークバレットは、<br>敵を脆弱化させる弾を発射する、特殊なバレットです。<br>習得したウィークバレットは、サブパレットに登録して使用します。"""
text102#1,"""ウィークバレットを発動すると、脆弱化弾が一定数装填され<br>通常攻撃を行うと発射が可能です。脆弱化弾がヒットしたエネミーには<br>ウィークポイントを示すマークが表示されます。<br>エネミーの脅威を排除し、パーティーの安全を確保する役目を担う<br>レンジャーにとって、非常に有効なスキルといえます。"""
