IncidentName#0,"""ร่างโคลนของ ARKS? จงขัดขวางมัน!"""
TrialBeginMsg#0,"""กำจัดศัตรูทั้งหมด!"""
TrialAbstract#0,"""กำจัดศัตรูทั้งหมด!"""
IncidentName#1,"""アークスの模倣体？を撃退せよ"""
TrialBeginMsg#1,"""全ての敵を撃破せよ！"""
TrialAbstract#1,"""全ての敵を撃破せよ！"""
NpcComOnBegin#0,"""พบปฏิกริยาบางอย่างที่แข็งแกร่งมากกำลังใกล้เข้ามา!<br>ปฏิกริยานี้มัน...อะไรกัน?<br>กำจัดพวกมันให้หมดเร็วเข้า!"""
NpcComOnSuccess#0,"""เป้าหมายถูกกำจัดหมดแล้ว<br>พวกเราพบพิกัดของพวกท่านแล้ว <br>สถานการณ์เรียบร้อย กรุณาเดินทางกลับด้วย"""
NpcComOnFailure#0,"""ภารกิจล้มเหลว"""
NpcComOnBegin#1,"""極めて強力な敵性反応を感知！<br>この反応は……何なんでしょう<br>なんとか全て撃破してください！"""
NpcComOnSuccess#1,"""敵性反応消失に伴い<br>皆さんの座標も捕捉できました<br>状況クリア。帰還してください"""
NpcComOnFailure#1,"""失敗"""
NpcComOnBegin#2,"""มีปฏิกริยาบางอย่างที่แข็งแกร่งมาก!<br>......เข้ามาใกล้มากแล้วด้วย!<br>ท่านต้องกำจัดมันเพื่อที่จะกลับฐาน!"""
NpcComOnSuccess#2,"""...ปฏิกริยาหายไปแล้ว<br>ได้ตำแหน่งพิกัดของท่านแล้ว<br>กำลังส่งเครื่องเคลื่อนย้ายไปให้ โปรดรีบกลับมาด้วย"""
NpcComOnFailure#2,"""ภารกิจล้มเหลว"""
NpcComOnBegin#3,"""極めて強力な敵性反応！<br>……やっかいなのが来るぞ<br>帰還のために、すべて排除しろ！"""
NpcComOnSuccess#3,"""……反応消失<br>諸君の座標も確認できた<br>転送装置を送る、帰還せよ"""
NpcComOnFailure#3,"""失敗"""
NpcComOnBegin#4,"""หว่า! นี่มันปฏิกริยาที่แข็งแกร่งมาก...!<br>ก็เคยคิดไว้อยู่นะว่าเป็นผู้พิทักษ์แห่งอวกาศ<br>แต่ปฏิกริยานี่มัน... เอ๊?!"""
NpcComOnSuccess#4,"""/face2 อ่า...เออ....ปฏิกริยาของศัตรูหายไปแล้ว!<br>ทุกคนควบคุมสถานการณ์ไว้ได้แล้ว!<br>ตอนนี้กลับมากันได้เลยค่า!"""
NpcComOnFailure#4,"""ภารกิจล้มเหลว"""
NpcComOnBegin#5,"""うわっ、ものすごい強い反応……！<br>その空間の主だと思いますけど<br>この反応って……あれ？"""
NpcComOnSuccess#5,"""/face2 あ、ああっと、敵の反応消失！<br>みなさんの座標もつかみました！<br>帰還しちゃってくださいー！"""
NpcComOnFailure#5,"""失敗"""
