text01#0,"""ไม่ต้องเครียดไปหรอกน่า !<br>ข้าเองก็ไม่ได้เก่งอย่างที่คิดหรอก<br>มาเป็นเพื่อนกันไว้ดีกว่า นะ !"""
11_voice_NPC_5087_104#0,"""เอ้อ ไม่ใช่เรื่องนี้นี่นะ<br>จะมาคุยเรื่องวิธีใช้ Katana ใช่มะ<br>นั่นสินะ โทษที"""
text03#0,"""ก็ลองใช้ดูเองเลยดีมั้ย?<br>เอาไปฟันๆๆศัตรูดูสัก10ตัวก่อน !<br>เดี๋ยวก็เป็นเอง !"""
text04#0,"""เริ่มจากแค่นี้ก็พอแล้ว<br>ว่าแต่ท่านมี Katana ของตัวเองรึยัง?"""
text08#0,"""ถ้ายังไม่มีก็เริ่มไม่ได้อ่ะนะ<br>เอางี้ชั้นจะให้ไปใช้ก่อนละกัน<br>พยายามเข้าน้า !"""
text05#0,"""เกี่ยวกับ [Katana]"""
text06#0,"""ข้อมูลเกี่ยวกับ [Katana]<br><br>Katana คืออาวุธระยะประชิดที่แม้แต่ผู้เริ่มต้นก็สามารถใช้ได้ง่าย"""
text07#0,"""คำอธิบายสั้นๆเกี่ยวกับการโจมตีพื้นฐานและ Photon Move ของ Katana ก็คือ<br><br>อาวุธที่สามารถโจมตีได้อย่างต่อเนื่อง และอาศัยความรวดเร็วในการสร้างคอมโบ<br><br>"""
text01#1,"""そーんなに緊張しなさんなって！<br>わたしも見事にぺーぺーだから<br>仲良くしよう、ねっ！"""
11_voice_NPC_5087_104#1,"""あーっと、違う違う。<br>カタナの使い方だったね。<br>そうだった、そうだった。"""
text03#1,"""まずはカタナを振ってみなよ？<br>そんでもって、さくっと１０体くらい<br>斬、斬、斬！\u3000って仕留める！"""
text04#1,"""それでだいたいわかるはずだけど<br>そういえばカタナは持ってる？"""
text08#1,"""無かったら話にならないからねー。<br>まずはあたしのおさがりをあげよう！<br>それ持ってがんばってー。"""
text05#1,"""『カタナ』について"""
text06#1,"""武器「カタナ」について、説明します。<br><br>カタナは、初心者にも扱いやすい接近戦向けの打撃武器です。"""
text07#1,"""カタナ系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>素早い動きによる、息もつかせぬ連続攻撃を得意とします。"""
