11_voice_NPC_5125_105#0,"""ขอโทษด้วย<br>ที่ชั้นไม่ค่อยจะเป็นประโยชน์ซักเท่าไหร่"""
text02#0,"""Stage Order...... หรือเปล่านะ?<br>นั่น จะพูดว่ายังไงดีล่ะ......<br>......ยุ่งยากสุดๆ เลย"""
text03#0,"""ผู้หญิงที่ชื่อว่า Karin นั่น<br>เค้าเป็นผู้ที่พัฒนาระบบนี้<br>ขึ้นมายังงั้นเหรอ"""
text04#0,"""ดูแล้วไม่ให้<br>ความรู้สึกว่าจะเป็นนักวิจัยเลยนะ......"""
text05#0,"""แต่ว่า แต่ถ้าไม่แปลกขนาดนั้น<br>ก็คงจะไม่สามารถทำให้ระบบบ้าบอนั่น<br>เป็นความจริงได้หรอกมั้ง"""
text06#0,"""......ขอโทษด้วย ที่พูดจาหยาบคาย<br>ไว้ชั้นกลับไปสงบจิตสงบใจที่ Lobby แล้ว<br>ค่อยมาคุยกันใหม่นะ"""
11_voice_NPC_5125_105#1,"""ごめんなさい。<br>私、あまり役に立てなかったわね。"""
text02#1,"""ステージオーダー……だったかしら？<br>あれが、なんといえばいいのか……<br>……とっても、やっかいね。"""
text03#1,"""あの、カリンとかいう女性。<br>彼女がこのシステムの開発者<br>ということなのかしら。"""
text04#1,"""とても、研究者には<br>見えない感じだったけど……"""
text05#1,"""けれど、あれくらいおかしくないと<br>あんなバカげたシステムは<br>実現できないのかもしれないわね。"""
text06#1,"""……失礼。言葉が乱れました。<br>ロビーに戻って落ち着いてから<br>また話をしましょう。"""
