ssc_502090_0010#0,"""……ああ、<%me>だったのね。"""
ssc_502090_0020#0,"""キャンプに用事？"""
ssc_502090_0030#0,"""なかに入らないの？"""
ssc_502090_0040#0,"""いいえ。<br>ただ、眺めていただけよ。"""
ssc_502090_0050#0,"""いえ、別に用があるわけじゃないの。"""
ssc_502090_0060#0,"""スティアのアークスたちは、<br>今も変わらず忙しそうにしているわ。"""
ssc_502090_0070#0,"""人員や物資の不足は、<br>以前よりも改善したようだけれど。"""
ssc_502090_0080#0,"""活動範囲が、スティアの深部に広がったことで、<br>それ以上にやることが増えているようね。"""
ssc_502090_0090#0,"""でも、誰ひとりとして弱音をはいたりしない。"""
ssc_502090_0100#0,"""ひとりひとりに、使命や責務があるから、<br>高い士気が維持されているのね。"""
ssc_502090_0110#0,"""……この光景、<br>私は前にも見たことがあるわ……。"""
ssc_502090_0120#0,"""ほかのリージョンのみんなのこと？"""
ssc_502090_0130#0,"""……エアリオタウンのこと？"""
ssc_502090_0140#0,"""そうね。どのリージョンのアークスも、<br>同じように頑張っている。"""
ssc_502090_0150#0,"""でも、一番記憶に残っているのは、<br>エアリオタウンの人たちの姿……。"""
ssc_502090_0160#0,"""ええ……。"""
ssc_502090_0170#0,"""エアリオタウンは、<br>外縁部の防衛を一手に引き受けていたの。"""
ssc_502090_0180#0,"""セントラルシティのアークスが、<br>カバーしきれない山向こうの領域をね。"""
ssc_502090_0190#0,"""けれど、あなたも知ってのとおり、<br>タウンのアークスは多くなかった。"""
ssc_502090_0200#0,"""偵察隊のやりくりに困るような状況で、<br>装備のメンテナンスをしたり、食材を集めたり……。"""
ssc_502090_0210#0,"""毎日、忙しく働いていた。"""
ssc_502090_0220#0,"""それに加えて、ドールズとの戦いは、<br>いつ起こるかわからない。"""
ssc_502090_0230#0,"""夜中に襲撃があって、<br>夜通しその対応に追われたりもしていたわ。"""
ssc_502090_0240#0,"""……そんな状況でも、<br>誰も不平や不満を口にしたりはしなかった。"""
ssc_502090_0250#0,"""むしろ、日々の暮らしを、<br>楽しんでいるようだったわ……。"""
ssc_502090_0260#0,"""当時の私には、わからなかったけれど、<br>彼らも自分たちの使命を、果たそうとしていた。"""
ssc_502090_0270#0,"""そのために、<br>何事にも全力で取り組んでいたのね……。"""
ssc_502090_0280#0,"""平穏な暮らしを夢見て、<br>ひたむきに……。"""
ssc_502090_0290#0,"""……そんな彼らの“想い”の先に、<br>私たちは立っている。"""
ssc_502090_0300#0,"""スティアのアークスの姿を見て、<br>そのことを再認識させられたわ。"""
ssc_502090_0310#0,"""……ごめんなさい。<br>長話につきあわせてしまって。"""
ssc_502090_0320#0,"""いろいろとあったから、<br>どうしても考えてしまうの。"""
ssc_502090_0330#0,"""……これまでのこと。<br>それから……、これからのこと……。"""
ssc_502090_0340#0,"""もう少し、気持ちの整理をしてみるわ。"""
ssc_502090_0350#0,"""それじゃ……ね。"""
