un_065240_0010#0,"""あら、マスター。<br>ごきげんよう、ですの。"""
un_065240_0020#0,"""……ねえ、マスター。<br>わたくしずっと、考えてましたの。<br>おもてなしを極めたい、って……"""
un_065240_0030#0,"""おもてなしできる機会は、一度のみ……<br>そう考えて、つねに悔いが残らないよう<br>誠心誠意、おもてなしすること。"""
un_065240_0050#0,"""それこそが<br>おもてなしの極意と考え、エトワールの<br>戦い方に活かしたいと思ったんですの。"""
un_065240_0070#0,"""ただ、わたくし個人としては……<br>おもてなしで大切にしたいことは<br>能力向上だけじゃありませんの。"""
un_065240_0080#0,"""お仲間は、見知らぬ方かもしれません。<br>二度とお会いできないかもしれません。<br>だからこそ、出会いを大切にしたい。"""
un_065240_0090#0,"""おもてなしで、仲間に力と勇気を与え<br>淡く優しい光で照らし、温かく見守る<br>「星」のような存在になりたい……"""
un_065240_0100#0,"""クラス名の「エトワール」は<br>その「星」をあらわす言葉から<br>頂きましたの。"""
un_065240_0110#0,"""ヒーローは、大勢を相手に戦場を駆け<br>ファントムは、厄介な相手を搦め手で<br>確実に仕留めていく。"""
un_065240_0120#0,"""そして、エトワールは……<br>おもてなしで、仲間と戦える幸せを<br>最大限に活かすことができる。"""
un_065240_0130#0,"""地獄で一人、延々と戦い続ける悪夢……<br>もう、見たくありませんから。"""
un_065240_0140#0,"""ルコット……？"""
un_065240_0150#0,"""これからはみんな一緒"""
un_065240_0160#0,"""はっ……ごめんなさいですの！<br>いけません、気を抜くとすぐ……<br>何でもありませんの！"""
un_065240_0170#0,"""……その通りですわ。<br>ストラトスに、キョーさん……<br>マスターもいてくれますもの！"""
un_065240_0180#0,"""それに、エトワールは<br>おもてなしへの想いを形にする際に<br>マリアさまに助言いただいたクラス……"""
un_065240_0190#0,"""いわば、二人で作り上げたものですわ。<br>落ち込んでなんかいたら、マリアさまを<br>悲しませてしまいますもの！"""
un_065240_0200#0,"""よーし、やってやりますの！<br>わたくし、これからもメイドとして<br>そして、エトワールの提唱者として……"""
un_065240_0210#0,"""より心をこめて、おもてなししますわ。<br>これからもよろしくですの、マスター！"""
