pr_068010_0010#0,"""あっ……握手？<br>う、うん。いいよ。"""
pr_068010_0020#0,"""うん、またね。"""
pr_068010_0030#0,"""あ、<%me>！<br>会いに来てくれたんだね。<br>うれしいな。"""
pr_068010_0040#0,"""今の人？\u3000ううん、初めて会ったよ。<br>握手してくださいって言われること<br>最近、多いんだ。"""
pr_068010_0050#0,"""ふふっ、他人事じゃないんだよ？<br>守護輝士は、憧れの的らしくて……<br>みんな、あなたのおかげなんだよ。"""
pr_068010_0060#0,"""それじゃあ、まずは静かなところで<br>ランチでもして、それから……"""
pr_068010_0070#0,"""あの……<br>ちょっといいですか？"""
pr_068010_0080#0,"""ごめんなさい。<br>少しお話が聞こえちゃって。"""
pr_068010_0090#0,"""もしかして<br>あなたたちが守護輝士ですか？"""
pr_068010_0100#0,"""うん、そうだけど……<br>あなたは……？"""
pr_068010_0110#0,"""私はアスナ。<br>今日始めたばかりのビギナーなの。"""
pr_068010_0120#0,"""実はログインしたら<br>チュートリアルもなくいきなり<br>ここに放り出されてしまって。"""
pr_068010_0130#0,"""えっと、ビギナー？<br>チュートリアルって……？"""
pr_068010_0140#0,"""やっぱり、そうよね……<br>この世界にきてから<br>何人か声をかけてみたんだけど"""
pr_068010_0150#0,"""皆あなたたちと<br>同じような反応だったの。"""
pr_068010_0160#0,"""その時に「困ったことがあれば<br>守護輝士に相談するといい」って<br>言われて、あなたたちを探していたの。"""
pr_068010_0170#0,"""うーんと、困ってる人は<br>できるだけ、助けてあげたいけど。"""
pr_068010_0180#0,"""とりあえず、話はきいてみよう"""
pr_068010_0190#0,"""頼られたら、仕方ない"""
pr_068010_0200#0,"""うん、そうだよね。<br>わたしたちで力になれることなら<br>お手伝いするよ。"""
pr_068010_0210#0,"""ありがとう！<br>改めまして、私はアスナ。"""
pr_068010_0220#0,"""マトイだよ。<br>このひとは……"""
pr_068010_0225#0,"""<%me>だ"""
pr_068010_0230#0,"""ふたりとも、よろしくね。"""
pr_068010_0240#0,"""それと、彼はキリトくん。<br>私と一緒に今日この世界に<br>きたばかりなの。"""
pr_068010_0290#0,"""キリトだ。よろしくな。<br>早速だけど、二人は<br>このゲームを始めて長いのか？"""
pr_068010_0300#0,"""えっと……ゲーム？"""
pr_068010_0310#0,"""……<br>この世界について、教えてくれないか。<br>ここはどこで、どういう場所なのか。"""
pr_068010_0460#0,"""……えっと、ここは<br>「オラクル船団」のひとつ<br>「アークスシップ」の中で……"""
pr_068010_0470#0,"""わたしたちは、惑星調査隊<br>「アークス」の一員だけど<br>……こんな説明であってるのかな？"""
pr_068010_0480#0,"""バッチリあってる"""
pr_068010_0490#0,"""聞きたいことと違うんじゃない？"""
pr_068010_0500#0,"""うん、そうだよね。<br>けど、どうして<br>そんな当たり前のことを？"""
pr_068010_0510#0,"""そうだよね、わざわざ<br>そんな当たり前のこと<br>聞かないだろうし……"""
pr_068010_0520#0,"""ごめん、キリトくんだったよね？<br>わたし、あなたの聞きたいことが<br>ちょっと、分からなくて……"""
pr_068010_0530#0,"""……なるほどな。"""
pr_068010_0540#0,"""ありがとう、二人とも。<br>俺たちはもう少し<br>この世界を見て回ってみるよ。"""
pr_068010_0550#0,"""え、え？"""
pr_068010_0560#0,"""またわからないことがあったら<br>声をかけるから色々と<br>教えてもらえると助かる。"""
pr_068010_0570#0,"""うん、それはもちろん<br>いいんだけど……"""
pr_068010_0580#0,"""さ、いこう、アスナ。"""
pr_068010_0590#0,"""えっ、キ、キリトくん？<br>でも……"""
pr_068010_0610#0,"""そう……だね。<br>二人とも、色々と教えてくれて<br>ありがとう。それじゃ。"""
pr_068010_0620#0,"""あ、うん、またね。"""
pr_068010_0630#0,"""……行っちゃった。<br>なんだか、不思議な人たちだったね。"""
pr_068010_0640#0,"""そうですね。<br>あのお二人は、おそらく<br>アークスではありません。"""
pr_068010_0650#0,"""シエラちゃん！<br>え？\u3000アークスじゃないって<br>どういうこと？"""
pr_068010_0660#0,"""はい、あのお二人は<br>どうやら、『ＰＳＯ２』を介して<br>地球から来られたようです。"""
pr_068010_0670#0,"""『ＰＳＯ２』って、たしか……<br>ヒツギちゃん達のいる地球で<br>流行ってるゲーム？\u3000だっけ？"""
pr_068010_0680#0,"""はい、マザーがこちらの世界に<br>アクセスするために作られたゲーム。<br>それが、『ＰＳＯ２』です。"""
pr_068010_0690#0,"""以前は、素質があれば<br>誰でもこちらの世界に来ることが<br>できましたが……"""
pr_068010_0700#0,"""現在は制限がかかっていて<br>関係者以外、アクセスできないはず……<br>なんですけど……"""
pr_068010_0710#0,"""じゃあ、あの二人も関係者？"""
pr_068010_0720#0,"""いえ、アースガイドのエンガさんからも<br>そういった連絡は、受けていません。"""
pr_068010_0730#0,"""……でも、気になりますね。<br>私は、エンガさんと連絡を取って<br>調査してみます。"""
pr_068010_0740#0,"""お二人は<br>彼らが危ない目に合わないように<br>一緒にいてあげてください。"""
pr_068010_0750#0,"""こちらの世界を<br>ゲームと認識していたようですし<br>何があるかわかりませんから。"""
pr_068010_0760#0,"""うん、そうだね。<br>任務みたいになっちゃったけど……<br>頑張ろうね！"""
pr_068010_0770#0,"""あれ？\u3000そういえば……<br>シエラちゃん、突然通信してきたけど<br>どうして状況を知ってたの？"""
pr_068010_0780#0,"""それはもちろん、守護輝士のお二人が<br>仲良くお出かけするなんて知った以上<br>気になって覗い……あ。"""
pr_068010_0790#0,"""覗いてたの！？<br>もうっ！\u3000シエラちゃん！"""
