st_054050_0010#0,"""威倫國內魔神城也……<br>就像盧瑟說的一樣<br>在全世界都擴散開了。"""
st_054050_0020#0,"""喂，希娜，這羣人是誰？"""
st_054050_0030#0,"""這羣人，還真是過分的說法呢。<br>火速趕來救援<br>還是希望能聽到感謝的話語啊。"""
st_054050_0040#0,"""……哼。<br>我可沒讓你們來。"""
st_054050_0050#0,"""哥德哈特！<br>實在是對不起<br>這個人真的是不太坦率……"""
st_054050_0060#0,"""這個國家……<br>在威倫究竟發生了什麼？"""
st_054050_0070#0,"""一看就明白了吧，戰爭。"""
st_054050_0080#0,"""戰爭……和哪個國家？"""
st_054050_0090#0,"""沒有對手什麼的。<br>周圍所有的國家都是敵人不是理所當然的麼。"""
st_054050_0100#0,"""弱者逝去，強者生存。<br>威倫，就是這樣一個國家。"""
st_054050_0110#0,"""如果想瞭解這個國家的狀況的話……<br>跟我來吧。"""
st_054050_0120#0,"""這裏是……村莊麼？"""
st_054050_0130#0,"""還不能被稱之爲村莊。<br>只是倖存者聚集的地方而已。"""
st_054050_0140#0,"""喔，哥德哈特！<br>之前真是感謝！"""
st_054050_0150#0,"""哼，明明怕得要死<br>請老老實實去死啊<br>這樣不必要的伙食費就減少了。"""
st_054050_0160#0,"""哈哈哈！　真是沒完沒了的傢伙！"""
st_054050_0170#0,"""就像剛才聽到的那樣<br>甚至連明天的伙食費都要擔心。<br>現在的威倫，不管是什麼地方都是這樣。"""
st_054050_0180#0,"""喂，哥德哈特。<br>你還活着啊。"""
st_054050_0190#0,"""啊啊？　說什麼呢，你這小鬼。<br>不會說“感謝你保護了我麼”，喂？"""
st_054050_0200#0,"""保護了我什麼的，<br>說了也記不住啊！"""
st_054050_0210#0,"""哈哈，和哪裏的誰<br>一模一樣的回答啊。"""
st_054050_0220#0,"""不，不要看這邊啊<br>是事實啊，事實！"""
st_054050_0230#0,"""梅爾馮希娜……<br>我父親沒有回來麼<br>明明是和大家一起去守護村莊的。"""
st_054050_0240#0,"""……你的父親呢，爲了保護大家<br>去了稍微遠一點兒的地方呢。"""
st_054050_0250#0,"""……不用騙我了，梅爾馮希娜。<br>就算是我也是明白的。<br>我父親，已經不會回來了吧。"""
