Title#0,"""Eliminate Fangbanther"""
Explanation#0,"""มีรายงานว่ามีสิ่งมีชิวิตขนาดใหญ่เรียกว่า<br>Fangbanthers กำลังอาละวาดอยู่ในส่วนลึกของ<br> Greenscape บน Naberius<br>พวกมันน่าจะถูกครอบงำจาก D-arker<br>ขอให้ ARKS ไปยัง Greenscape แล้วกำจัด Fangbanthers <br>----------------------------------------<br>เงื่อนไขความล้มเหลว / แพ้ในการต่อสู้สุดท้ายหรือหมดเวลา"""
Title#1,"""ファングバンサー討伐"""
Explanation#1,"""惑星ナベリウスの森林奥地にて<br>ファングバンサーと呼称される<br>大型原生種が暴れ回っているとの<br>情報が入った。<br>おそらくは、ダーカーの影響によって<br>凶暴化しているものと思われる。<br>アークス各員は至急森林奥地へと向かい<br>ファングバンサーを討伐せよ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過"""
SimpleExplanation#0,"""ไปยังพื้นที่สุดท้าย!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
