Title#0,"""เมนู"""
Caption1#0,"""ชื่อสินค้า"""
Caption2#0,"""สินค้าเหลืออยู่"""
Caption3#0,"""ราคา"""
PopupItem1#0,"""เล่นด้วย Scratch Ticket เป็นจำนวน $(1) $(0)"""
PopupItem2_1#0,"""เล่นด้วย AC Scratch Ticket (ท่านมี $(0))"""
PopupItem2_2#0,"""เล่นด้วย Gold AC Scratch Ticket (ท่านมี $(0))"""
PopupItem2_3#0,"""ไม่สามารถเล่นด้วย Scratch tickets"""
PopupItem2_4#0,"""เล่นด้วย Platinum AC Scratch Ticket (ท่านมี $(0))"""
PopupItem3#0,"""รายการของรางวัล"""
PopupItem4_1#0,"""-"""
PopupItem4_2#0,"""-"""
Title#1,"""購入メニュー"""
Caption1#1,"""商品名"""
Caption2#1,"""陳列期限"""
Caption3#1,"""価格"""
PopupItem1#1,"""$(1)$(0)でスクラッチを引く"""
PopupItem2_1#1,"""ＡＣスクラッチ券で引く(所持数:$(0))"""
PopupItem2_2#1,"""ＡＣスクラッチゴールド券で引く(所持数:$(0))"""
PopupItem2_3#1,"""スクラッチ券で引くことはできません"""
PopupItem2_4#1,"""ＡＣスクラッチプラチナ券で引く(所持数:$(0))"""
PopupItem3#1,"""景品リスト"""
PopupItem4_1#1,"""-"""
PopupItem4_2#1,"""-"""
Title#2,"""รายการของรางวัล"""
Title#3,"""景品リスト"""
Title#4,"""-"""
Caption1#2,"""-"""
Caption2#2,"""-"""
Caption3#2,"""-"""
Title#5,"""-"""
Caption1#3,"""-"""
Caption2#3,"""-"""
Caption3#3,"""-"""
Title#6,"""รายละเอียดสินค้า"""
Hotitem_Caption#0,"""รางวัลใหญ่"""
Title#7,"""商品情報"""
Hotitem_Caption#1,"""イチオシ景品"""
Title#8,"""ยืนยันการซื้อ"""
Message#0,"""<pict Arcscash><c ff4f3f>ARKS Cash Confirmation<c><br>ท่านต้องการซื้อ<br>$(1) ในราคา $(2) $(0)?"""
Message_Fun#0,"""ท่านต้องการซื้อ<br>$(1) ในราคา $(2) $(0)?"""
PassMessage#0,"""<pict Arcscash><c 5fdf00>ใช้ไอเทมที่ซื้อ<c><br>ท่านต้องการใช้ Scratch ticket $(0)?<br>(ท่านมี $(1))"""
