IncidentName#0,"""Defend the Energizer Crystals"""
TrialBeginMsg#0,"""ป้องกันผลึกพลังงานในช่วงระยะเวลาหนึ่ง<br>หากถูกทำลายไปสองชิ้นภารกิจจะล้มเหลว"""
TrialAbstract#0,"""ป้องกันผลึกพลังงานในช่วงระยะเวลาหนึ่ง!"""
ToastOnSuccess#0,"""ผลึกพลังงานเพิ่มอัตราการเกิด PSE!"""
ToastOnPinch#0,"""พลังของผลึกพลังงานที่ $(0) กำลังลดลง!"""
IncidentName#1,"""励起結晶を守り抜け！"""
TrialBeginMsg#1,"""一定時間、励起結晶を防衛せよ。<br>２個、破壊されると失敗。"""
TrialAbstract#1,"""一定時間、励起結晶を防衛せよ！"""
ToastOnSuccess#1,"""励起結晶の効果によって PSEの発生率が上がった！"""
ToastOnPinch#1,"""$(0)にある励起結晶の力が減衰している！"""
NpcComOnBegin#0,"""ปกป้องฝลึกพลังงานไว้ให้ได้!<br>จำไว้ ผลึกจะอ่อนแรงลงหากไม่มี ARKS อยู่ใกล้ๆ!"""
NpcComOnSuccess#0,"""/face2 ปกป้องผลึกได้แล้ว!<br>Photon ได้รับการเพิ่มขึ้นทำให้เกิด PSE ได้ง่ายขึ้น!"""
NpcComOnFailure#0,"""/face4 ผลึกพลังงานถูกทำลายไปมากกว่าที่เราคาด...<br>ท่านสามารถกลับไปทำหน้าที่ของตัวเองได้แล้วล่ะ"""
NpcComOnDestroy#0,"""ผลึกพลังงานที่ $(0) ถูกทำลาย!<br>ป้องกันผลึกอีกอันไว้ให้ได้!"""
NpcComOnLast#0,"""เหลือผลึกพลังงานอีกอันเดียวเท่านั้น!<br>ปกป้องมันให้ดีที่สุด!"""
NpcComOnAddPse#0,"""ดูเหมือนผลึกพลังงานใหม่จะเกิดขึ้นแล้ว!<br>รีบไปปกป้องมันเร็ว! ยิ่งปกป้องผลึกได้มากเท่าไรก็ยิ่งดีขึ้นเท่านั้น!"""
NpcComOnBegin#1,"""各員、励起結晶を防衛してください！<br>結晶の周囲にアークスがいないと<br>力が減衰しますので注意してください！"""
NpcComOnSuccess#1,"""/face2 防衛、成功です！<br>フォトンが活性化し、ＰＳＥが<br>発生しやすくなったようです！"""
NpcComOnFailure#1,"""/face4 規定数以上の励起結晶が<br>破壊されてしまいました……。<br>通常任務に戻って下さい。"""
NpcComOnDestroy#1,"""$(0)にある<br>励起結晶が壊れてしまいました！<br>他の結晶を防衛してください！"""
NpcComOnLast#1,"""励起結晶、残りわずかです！<br>なんとか守りきって下さい！"""
NpcComOnAddPse#1,"""新たな励起結晶が発生したようです！<br>防衛をお願いします！<br>多く守れば状況の好転が期待できます！"""
NpcComOnBegin#2,"""ปกป้องผลึกพลังงานให้ได้<br>ทราบมาว่าต้องมี ARKS ป้องกันอยู่ใกล้ๆไม่อย่างนั้นพลังของมันจะหายไป จำไว้ให้ดี"""
NpcComOnSuccess#2,"""เอาล่ะ สำเร็จแล้ว<br>Photon ได้รับการเพิ่มขึ้นทำให้เกิด PSE ได้ง่ายขึ้น!"""
NpcComOnFailure#2,"""ผลึกพลังงานถูกทำลายมากเกินไป<br>คงต้องยกเลิกภารกิจนี้แล้ว...<br>กลับไปยังหน้าที่ของท่านเถอะ"""
