msc_027160_0010#0,"""うむ……なじむな……。"""
msc_027160_0020#0,"""……この力があれば、<br>“アイツ”にも勝てるだろう。"""
msc_027160_0030#0,"""アイツ……って？"""
msc_027160_0040#0,"""500年前に現れた<br>最強のダークファルス級スターレス。"""
msc_027160_0050#0,"""最も多く星系を破壊し、<br>人類種の犠牲を強いた存在だ。"""
msc_027160_0060#0,"""そんなのが……いるの？"""
msc_027160_0070#0,"""当時、私が所属していた対スターレスの部隊も、<br>ヤツに壊滅させられた……。"""
msc_027160_0080#0,"""戦いのなかで、<br>私は攻撃を受けて倒れた。"""
msc_027160_0090#0,"""……そして、長い時間……意識を失っていた。"""
msc_027160_0100#0,"""目覚めたときには、<br>なにひとつ残っていなかった。"""
msc_027160_0110#0,"""私が、生まれ育った惑星も、<br>家族や多くの仲間たちも……。"""
msc_027160_0120#0,"""さらには、スターレスの姿すらも、<br>忽然と消えていた。"""
msc_027160_0130#0,"""そのときの私は、ただ茫然と、<br>無に帰した世界のなかで、立ち尽くすしかなかった……。"""
msc_027160_0140#0,"""その雪辱を、今こそ晴らすことができる。"""
msc_027160_0150#0,"""……これで、“リサージェントアークス”の計画は、<br>真の意味で成就する。"""
msc_027160_0155#0,"""……うむ。"""
msc_027160_0160#0,"""ファリア、すべてが完了したな。"""
msc_027160_0170#0,"""はい。"""
msc_027160_0180#0,"""よし、では……。"""
msc_027160_0190#0,"""なんだ!?"""
msc_027160_0200#0,"""……こ、これは……。"""
msc_027160_0210#0,"""……ヴァエル!?"""
msc_027160_0220#0,"""そうか……そういうことか……。"""
msc_027160_0230#0,"""なにが起きてるの？"""
msc_027160_0240#0,"""来るな！\u3000アイナ！"""
msc_027160_0251#0,"""わっ……。"""
msc_027160_0253#0,"""きゃ……。"""
msc_027160_0255#0,"""ぐっ……。"""
msc_027160_0257#0,"""ふっ！"""
msc_027160_0260#0,"""な、なんなの!?"""
msc_027160_0270#0,"""ゼフェット！"""
msc_027160_0275#0,"""………。"""
msc_027160_0280#0,"""どうしたの!?<br>返事をして！"""
msc_027160_0290#0,"""………。"""
msc_027160_0300#0,"""アイナ、気をつけて！"""
msc_027160_0310#0,"""アイナ、近づくな！"""
msc_027160_0320#0,"""わかってる！"""
msc_027160_0330#0,"""で、でも！"""
msc_027160_0335#0,"""ん……んん……。"""
msc_027160_0340#0,"""ファリア！"""
msc_027160_0341#0,"""ん……！"""
msc_027160_0343#0,"""んん……ん……んん……。"""
msc_027160_0345#0,"""ぐ……うぐ……ん……んん……。"""
msc_027160_0350#0,"""……大丈夫!?"""
msc_027160_0360#0,"""はい……。"""
msc_027160_0365#0,"""ぐぅ……う……。"""
msc_027160_0370#0,"""……に……げろ。"""
msc_027160_0380#0,"""私は……この身体を……<br>ヴァエルを……位相空間に飛ばす……。"""
msc_027160_0390#0,"""その間に……脱出……しろ……。"""
msc_027160_0400#0,"""……急げ！"""
msc_027160_0410#0,"""ゼフェットはどうなる？"""
msc_027160_0420#0,"""もっと、いろいろ聞きたい！"""
msc_027160_0430#0,"""いいから……行くんだ……。"""
msc_027160_0433#0,"""う……うぅ……。"""
msc_027160_0435#0,"""ぐ……あぁ……うぅ……。"""
msc_027160_0437#0,"""んんん……。"""
msc_027160_0440#0,"""うぉぉぉぉおおおおお！"""
msc_027160_0450#0,"""……ゼフェット……。"""
msc_027160_0460#0,"""……また、なにも聞き出せなかった……。"""
msc_027160_0470#0,"""……ここであったことを、<br>ハルファのみんなに伝えよう。"""
name01#0,"""？？？"""
