Title#0,"""In the Driving Rain"""
Explanation#0,"""เกิดปรากฏการณ์พายุลมและฝนขึ้น<br>ที่ Greenscape บน Planet Naberius ดาวดวงนี้อากาศ<br>เปลี่ยนแปลงง่ายก็จริงแต่นี่เป็นครั้งแรกที่สภาพอากาศ<br>เลวร้ายต่อเนื่องขนาดนี้ เรามองว่ามันอาจจะเป็น<br>สัญญาณเตือนอะไรบางอย่างขอให้ ARKS ทุกคนเตรียมตัว<br>ออกปฏิบัติการตรวจสอบและยืนยัน <br>สภาพอากาศที่ผิดปกติด้วย<br>------------------------------------<br>เงื่อนไขความล้มเหลว / <br>แพ้ในการต่อสู้สุดท้ายหรือหมดเวลา"""
Title#1,"""雨風とともに"""
Explanation#1,"""惑星ナベリウスの森林エリアにおいて<br>風雨が止まらない現象が起こっている。<br>天候の変わりやすい惑星だが、ここまで<br>継続した悪天候は初めてであり、何らかの<br>予兆ではないかという見方が強まっている。<br><br>アークス各員は準備が出来次第出撃し<br>異常気象の調査と、状況の確認を行え。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過"""
SimpleExplanation#0,"""เข้าไปให้ถึงส่วนที่ลึกที่สุด!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
