text00#0,"""『エンドレスクエスト』【基本編】"""
text10#0,"""『エンドレスクエスト』【応用編】"""
text100#0,"""戻る"""
Title#0,"""『エンドレスクエスト』【基本編】"""
text0001#0,"""『エンドレスクエスト』はランダムに<br>出現するミッションをクリアし、<c f4a142>制限時間内に<br>ハイスコアを目指すクエスト<c>です。<br>スコアは以下の方法で獲得できます。<br>・『ミッションオーダー』の成功<br>・エネミーの撃破<br><br>制限時間は以下の方法で<br>増やす事ができます。<br>・『ミッションオーダー』の成功<br>・『インターバルエリア』への到達"""
text0002#0,"""『ミッションオーダー』は各ミッションごとに<br>課され、成功すると<c f4a142>スコアの獲得や<br>制限時間を増やす<c>ことができます。<br><br>制限時間を増やす事でより奥地まで<br>進むことができ、ハイスコアを狙えます。<br><br>クエスト終了時の報酬も豪華になるので<br>確実に成功させましょう。"""
text0003#0,"""『インターバルエリア』はクエスト中に<br>存在する休憩ポイントです。<br>このエリアにプレイヤーが到達した時点で<br><c f4a142>時間の経過が停止し、<br>制限時間が一定量増加<c>します。<br><br>また、ハーフドールの使用回数が回復し<br>ショップでのアイテム購入も可能です。<br>次のミッションに向けてアイテムを<br>補充しましょう。"""
text0004#0,"""『報酬』と『スコア』について説明します。<br><br>エネミーのドロップはクエストクリア時に<br>まとめて獲得できます。<br><br><yellow>スコアに応じて<br>レアドロップ倍率が上昇します<c>ので<br>協力して高いスコアの獲得を目指して下さい。<br><br>また、エンドレスクエストのハイスコアは<br>クエスト・難度・条件別に保存され<br>クエストカウンターから確認できます。"""
text0005#0,"""『スコアの種類』について説明します。<br><br>エンドレスクエストのハイスコアは<br>クエストカウンターから確認する事が出来ます。<br><br>また、『難度』と『条件』別にハイスコアは保存されます。"""
Title#1,"""『エンドレスクエスト』【応用編】"""
text0001#1,"""『ミッションオーダー』の種類について<br>説明します。<br><br><yellow>●加算型<c><br>目標を達成するごとに獲得時間が上昇します。<br><yellow>加算型例）エネミーを正面から倒せ！<c><br><c 00ff00>●減算型<c><br>目標を失敗するごとに獲得時間が減少します。<br><c 00ff00>減算型例）戦闘不能になるな！<c><br><c ff4f3f>●達成型<c><br>目標を達成すると時間が増加、失敗したら0の<br>ハイリスクハイリターンなオーダーです。<br><c ff4f3f>達成型例）60秒以内にエネミーを99体倒せ！<c>"""
text0002#1,"""『サクセスバフ』について説明します。<br><br><yellow>ミッションオーダーを達成する<c>と、<br>次のエリアでプレイヤーに強化バフが<br>かかる事があります。<br>これを<c 00ffff>『サクセスバフ』<c>といいます。<br><br><c 00ffff>サクセスバフ<c>はそのエリア中、有効です。<br><br><yellow>ミッションオーダーの達成率に応じて<br>発生確率が増える<c>ので<br>積極的にミッションオーダーの<br>達成を狙いましょう。"""
text0003#1,"""『ミッションアクシデント』<br>『ラウンドアクシデント』について説明します。<br><br>次のミッションに進んだ際、<br>『ミッションアクシデント』が発生し<br><c ff4f3f>エネミーの強化など、様々な妨害効果が<br>発生することがあります。効果は<br>そのミッションが終わるまで継続します。<c><br><br>また、全てのミッションをクリアすると<br>2周目に突入し『ラウンドアクシデント』が<br>発生します。ミッションアクシデントと同様、<br>様々な妨害効果が発生しますが、<br><c ff4f3f>効果はその周回中<c>続きます。"""
text0004#1,"""エンドレスクエストでは<br>ハイスコアは条件別に保存されます。<br><br><yellow>ソロ：<c><br>１人でクエストを開始した時のスコアです。<br><yellow>デュオ：<c><br>２人でクエストを開始した時のスコアです。<br><yellow>トリオ：<c><br>３人でクエストを開始した時のスコアです。<br><yellow>クラス別４人：<c><br>４人でマルチパーティーを組んだ際、<br>プレイヤーのクラスが全員違う時のスコアです。<br><yellow>フリー：<c><br>すべての条件で保存されるスコアになります。"""
