ssc_511030_0010#0,"""……ん？<br>ああ、あなたでしたか。"""
ssc_511030_0020#0,"""こんなところで、<br>なにをしているのですか？"""
ssc_511030_0030#0,"""ちょっと、ようすを見に。"""
ssc_511030_0040#0,"""カヌイのほうこそ。"""
ssc_511030_0050#0,"""あなたたちが、遊撃戦に加わってくれて、<br>とても助かっています。"""
ssc_511030_0060#0,"""我々の戦力だけでは、<br>スティア全域をカバーしきれませんので。"""
ssc_511030_0070#0,"""私は、哨戒任務中です。"""
ssc_511030_0080#0,"""まだ、スティアの各所には、<br>多くのエネミーが残っていますので。"""
ssc_511030_0090#0,"""とくに、このあたりは、<br>強力なエネミーが今も巡回しています。"""
ssc_511030_0100#0,"""経験の浅いアークスには、<br>荷が重い場所ですね。"""
ssc_511030_0110#0,"""……しかし、この地下に、<br>あれほど巨大な構造物があったとは……。"""
ssc_511030_0120#0,"""自分も驚いた。"""
ssc_511030_0130#0,"""なにがいるかは、知っていた？"""
ssc_511030_0140#0,"""クロフォード君からは、<br>事前に説明を受けていなかったということですね。"""
ssc_511030_0150#0,"""なるほど……。おそらく当時の彼も、<br>確実な情報は得ていなかったのでしょう。"""
ssc_511030_0160#0,"""いえ、クロフォード君から、<br>情報がもたらされるまでは、関知していませんでした。"""
ssc_511030_0170#0,"""我々の作戦も、あなたがたと同じく、<br>ここを最終目標としていました。"""
ssc_511030_0180#0,"""ですが、それはあくまで、<br>ドールズの制圧を意図してのこと。"""
ssc_511030_0190#0,"""強力な敵の存在は見込んでいましたが、<br>その相手が、まさかあのダークファルスとは。"""
ssc_511030_0200#0,"""あなたたちの支援がない状態で、<br>我々だけで突入していたら、どうなっていたか……。"""
ssc_511030_0210#0,"""ああ、そういえば。<br>この話をしていませんでした。"""
ssc_511030_0220#0,"""調査チームが、中枢部の制御室で、<br>ダークファルスのデータを見つけました。"""
ssc_511030_0230#0,"""報告によると、ダークファルスは、<br>ハルファ全域の戦いの記録を収集していたようです。"""
ssc_511030_0240#0,"""それは、ダークファルスの意志で？"""
ssc_511030_0250#0,"""誰かが、ダークファルスに指示を？"""
ssc_511030_0260#0,"""それは……、わかりません。"""
ssc_511030_0270#0,"""その場合、誰が？<br>……という疑問がわきますね。"""
ssc_511030_0280#0,"""詳細は不明ですが……。"""
ssc_511030_0290#0,"""ダークファルスが、アークスの戦いかたを、<br>学習していたのは間違いないようです。"""
ssc_511030_0300#0,"""放置していたら、<br>さらに手ごわい相手になっていたのかもしれません。"""
ssc_511030_0310#0,"""対処できなくなる前に、<br>手が打ててよかった……と言うべきでしょうか。"""
ssc_511030_0320#0,"""この話は、<br>クロフォード君にも伝えてあります。"""
ssc_511030_0330#0,"""彼ならば、<br>なにか答えを見つけてくれるでしょう。"""
ssc_511030_0340#0,"""時間はかかると思いますが、<br>我々もこの場所の調査を進めていくつもりです。"""
ssc_511030_0350#0,"""……っと、すみません。<br>話が長くなりましたね。"""
ssc_511030_0360#0,"""私は、任務に戻ります。"""
ssc_511030_0370#0,"""それでは、また。"""
