linewindow01#0,"""Altar （暫稱）"""
linewindow02#0,"""阿多斯奇亞行星\u3000龍祭壇"""
select_0010#0,"""阿多斯奇亞行星\u3000龍祭壇"""
select_0015#0,"""阿多斯奇亞行星\u3000龍祭壇"""
select_0020#0,"""阿多斯奇亞行星\u3000龍祭壇"""
linewindow01#1,"""エピソード３について"""
text01_00#0,"""エピソード３について"""
text01_01#0,"""現在、アークスの環境はエピソード３の<br>物語の時系列となっております。<br><br>プレイするエピソードを選択することで<br>これから新しく始める方もエピソード１＆２の<br>物語を楽しむことができます。"""
text01_02#0,"""現在、アークスの環境はエピソード３の<br>物語の時系列となっております。<br><br>そして、あなたは今エピソード１を進行中の状態です。<br><br>プレイするエピソードを選択することで<br>エピソード１＆２をプレイ中の方は引き続き<br>エピソード１＆２の物語を楽しむこともできます。"""
text01_03#0,"""現在、アークスの環境はエピソード３の<br>物語の時系列となっております。<br><br>そして、あなたは今エピソード２を進行中の状態です。<br><br>プレイするエピソードを選択することで<br>エピソード１＆２をプレイ中の方は引き続き<br>エピソード１＆２の物語を楽しむこともできます。"""
linewindow02#1,"""プレイするエピソードを選択してください。<br><c 00ffff>※どのエピソードを選択しても、いつでもエピソード１＆２<br>およびエピソード３をプレイすることは可能です。"""
select_0010#1,"""エピソード１からプレイする"""
select_0015#1,"""引き続きエピソード１＆２をプレイする"""
select_0020#1,"""エピソード３からプレイする"""
linewindow04#0,"""マターボード『白と黒のはざまで』を入手しました"""
