msc_027170_0010#0,"""……戻ったようだね。"""
msc_027170_0020#0,"""でも、ゼフェットの姿は……ないのか。"""
msc_027170_0030#0,"""なにがあったのか、聞かせてもらえるかい？"""
msc_027170_0040#0,"""ゼフェットの精神が、<br>その……4thクローンの身体に入ろうとして……。"""
msc_027170_0050#0,"""別の“なにか”に、<br>身体を乗っ取られた。"""
msc_027170_0060#0,"""相変わらず……想像を超えることが、<br>次々と起こるね。"""
msc_027170_0070#0,"""……次は、なにが起きるのか……。"""
msc_027170_0080#0,"""……この場に、ゼフェットがいてくれたら、<br>いろいろと聞けたのに……。"""
msc_027170_0090#0,"""多くは語れないが……。"""
msc_027170_0100#0,"""え？"""
msc_027170_0110#0,"""その“なにか”については、<br>話しておく。"""
msc_027170_0120#0,"""……ファリア？"""
msc_027170_0130#0,"""もしかして、ゼフェット？"""
msc_027170_0140#0,"""……私だ。"""
msc_027170_0150#0,"""ゼフェット……？"""
msc_027170_0160#0,"""そうだ。"""
msc_027170_0170#0,"""ヤツの名は“ヴァエル”。"""
msc_027170_0180#0,"""ダークファルス級のスターレスは、<br>多くのスターレスを束ねるもの。"""
msc_027170_0190#0,"""なかでもヴァエルは、<br>そのダークファルス級をも統率する存在。"""
msc_027170_0200#0,"""つまり、スターレスの<br>“王”とも呼べる存在だ。"""
msc_027170_0210#0,"""私の精神は、<br>もうすぐ完全にヤツに取り込まれる。"""
msc_027170_0220#0,"""そうなる前に、<br>その一部をファリアに移しておいた。"""
msc_027170_0230#0,"""ヴァエルの精神と融合し、<br>私はスターレスというものの本質を理解した。"""
msc_027170_0240#0,"""ヤツらは、常に飢えている。"""
msc_027170_0250#0,"""フォトンを欲して、<br>無辺の宇宙をさまよい続けている。"""
msc_027170_0260#0,"""500年前、極度の飢餓状態にあったヤツらは、<br>わずかなフォトン反応を察知して、我々の前に現れた。"""
msc_027170_0270#0,"""そして、多くのモノを食らいつくした。"""
msc_027170_0280#0,"""そこで気づいたのだ。"""
msc_027170_0290#0,"""自分たちが喰らっているモノの保有フォトンが、<br>あまりに少ないことに。"""
msc_027170_0300#0,"""同時に、今から1000年前、かつてのアークスが、<br>はるかに多くのフォトンを保有していたことにも。"""
msc_027170_0310#0,"""そこで、ヴァエルは“待つ”ことを考えた。"""
msc_027170_0320#0,"""そうすれば、この“獲物”は、<br>再び力をつけて、体内のフォトンを増やすだろうと。"""
msc_027170_0330#0,"""ヴァエルは、<br>すべてのスターレスに指示を発した。"""
msc_027170_0340#0,"""それに従い、スターレスの軍勢は攻撃をやめ、<br>位相空間に入って我々の居住圏から消えた……。"""
msc_027170_0350#0,"""当のヴァエルは……。"""
msc_027170_0360#0,"""そのとき対峙していた<br>“私”の身体のなかに潜んだ……。"""
msc_027170_0370#0,"""私のこの精神を転移させる能力は、<br>ヤツによってもたらされたものだったのだ。"""
msc_027170_0380#0,"""そうとも知らず、私は“アークス復活”の、<br>使命を得たと思い、実験にまい進していった。"""
msc_027170_0390#0,"""スターレスに対抗する<br>アークスの復活……。"""
msc_027170_0400#0,"""500年後にスターレスが再来するという<br>周期の予測……。"""
msc_027170_0410#0,"""そうした思考に、ヴァエルの意識が影響したのかは、<br>今となってはわからない。"""
msc_027170_0420#0,"""だが、スターレスへの敵愾心は、<br>私の内なるところから生じたものと信じている。"""
msc_027170_0430#0,"""結果としては、ヤツらの手のひらの上で、<br>踊らされていたのだがな……。"""
msc_027170_0440#0,"""ヴァエルは、次になにを？"""
msc_027170_0450#0,"""ヴァエルの目標はここ？"""
msc_027170_0460#0,"""今、最もフォトン感応値の高い<br>人類種が集まっているのは、この地に相違ない。"""
msc_027170_0470#0,"""間違いなくヴァエルは、<br>ここに来るだろう。"""
msc_027170_0480#0,"""それ以外にない。"""
msc_027170_0490#0,"""今、最もフォトン感応値の高い<br>人類種が集まっているのは、この場所だ。"""
msc_027170_0500#0,"""ヤツは今、位相空間で力を蓄えている。"""
msc_027170_0510#0,"""4thクローンを依り代として、<br>完全体へと変貌を遂げようとしている。"""
msc_027170_0520#0,"""もう間もなく、こちらに現れるだろう……。"""
