un_042040_0001#0,"""A.D.2028/3/24"""
un_042040_0010#0,"""はー……買い物に行って<br>お風呂に入っただけのはずなのに<br>なんだか今日はどっと疲れた……"""
un_042040_0020#0,"""アル、布団大丈夫？<br>枕もちゃんとあるわよね？"""
un_042040_0030#0,"""あ、うん、お姉ちゃん……"""
un_042040_0040#0,"""それじゃ、明かり消すわよ。"""
un_042040_0050#0,"""……はあ、こうやってのんびり<br>寝られるのも久々な気がする。"""
un_042040_0060#0,"""せめて夢の中ぐらい、何も考えずに<br>ゆっくりのんびり気楽に……"""
un_042040_0070#0,"""ひゃっ！？"""
un_042040_0080#0,"""あ、アル？\u3000どうしたの？<br>あんたの布団はあっちよ？"""
un_042040_0090#0,"""え……<br>アル……震えてるの？"""
un_042040_0100#0,"""ごめんなさい、お姉ちゃん……<br>でも、暗いのが、怖くて。"""
un_042040_0110#0,"""どこかに連れていかれそうで……<br>吸い込まれてしまいそうで……"""
un_042040_0120#0,"""お姉ちゃんと会う前のぼくに<br>戻ってしまいそうで……<br>お姉ちゃんと離れるのが、怖くて。"""
un_042040_0130#0,"""アル……"""
un_042040_0140#0,"""おいで、アル。"""
un_042040_0150#0,"""……え、いいの？"""
un_042040_0160#0,"""あたしは、お姉ちゃんだからね。<br>怖がりな弟を放ってはおけないでしょ。<br>ほら、早く。"""
un_042040_0170#0,"""……うん。<br>ありがとう、お姉ちゃん。"""
un_042040_0180#0,"""アルくんの気持ち、わかります。<br>とってもとっても、わかりますー。"""
un_042040_0190#0,"""誰かと一緒にいるのって<br>本当にとっても安心できるんですよねー。"""
un_042040_0200#0,"""私も、ずっとこの管理艦橋に<br>ひとりぼっちでしたから、なおさらです！<br>結構さびしいんですよねー……"""
un_042040_0210#0,"""でもでも、最近は<br><%me>さんがいつも<br>来てくれるから、寂しくないですよ？\u3000ふふっ。"""
