text00#0,"""เกี่ยวกับ [Mining Base Defense Battle]"""
text01#0,"""ข้อมูลเกี่ยวกับ [Mining Base Defense Battle]<br><br>Mining Base Defense Battle คือเควสที่ต้องปกป้อง Base ให้รอดพ้นจากการบุกโจมตีของ D-arker<br>การบุกโจมตี 1 ชุดจะนับเป็น 1 Wave<br>หากสามารถปกป้อง Base ให้เหลือรอดได้แม้แต่ Base เดียว<br>หลังจาก Wave สุดท้ายสิ้นสุดลง<br>จึงจะนับว่าผ่านเควส<br><br>ผู้เล่นจึงจำเป็นต้องใช้ฝีมือและความสามัคคี<br>เพื่อปกป้อง Base ทุกวิถีทาง<br>ให้รอดพ้นจากการถูกทำลายอย่างเต็มความสามารถ"""
text02#0,"""ผู้เล่นสามารถใช้งานอุปกรณ์ช่วยเหลือต่างๆ<br>ด้วยการรวมรวบ [Crystal] ที่ปรากฏขึ้นในฉาก<br><br>อุปกรณ์ช่วยเหลือแต่ละจุดนั้น<br>สามารถใช้งานได้เพียงครั้งละ 1 คนเท่านั้น<br>(ไม่มีการหายไปหลังจากถูกใช้)<br>จึงควรคิดให้รอบคอบก่อนทำการเรียกใช้งาน"""
text03#0,"""อุปกรณ์ช่วยเหลือมีดังต่อไปนี้<br><br>-Burst Barrier (เรียกใช้จาก Base Terminal)<br>แช่แข็ง D-arker รอบๆ Base ด้วยการโจมตีธาตุน้ำแข็ง<br>และสามารถทำลายสภาวะ Greater Corrupted ได้ด้วย<br><br>-ฟื้นฟูค่าความทนทาน (เรียกใช้จาก Base Terminal)<br>ฟื้นฟู Base ที่มีค่าความทนทานเหลือน้อย<br><br>-ติดตั้ง Gun Terret (ใช้กับ Defense Socket)<br>ติดตั้ง Gun Terret ลงบน Defense Socket<br><br>-ติดตั้ง Photon Laser Cannon (ใช้กับ Defense Socket)<br>ติดตั้ง Photon Laser Cannon ลงบน Defense Socket"""
text04#0,"""มีบางครั้งที่เหล่า D-arker<br>จะใช้การโจมตีแบบ [Greater Corrupted] ใส่ Base<br><br>Base ที่ถูกโจมตีด้วย Greater Corrupted<br>ค่าความทนทานจะค่อยๆลดลง<br>ยิ่งปล่อยไว้นาน ความเสียหายจะยิ่งรุนแรงขึ้น<br>หากพบเห็นควรรีบทำลายสภาวะนี้ทิ้งโดยเร็ว"""
text05#0,"""ในกรณีที่ปรากฏคำเตือนก่อนเริ่ม Wave<br>แสดงว่าศัตรูที่กำลังจะมานั้นแข็งแกร่งกว่าปกติ<br>ซึ่งส่วนมากจะมี HP หรือ พลังโจมตีที่สูง<br>ขอให้เตรียมตัวให้พร้อมเพื่อรับมือ<br><br>ทว่า Wave ที่ศัตรูมีพลังที่สูงผิดปกติเช่นนี้<br>รางวัลตอบแทนเมื่อสามารถผ่าน Wave นั้นได้<br>มีความเป็นไปได้ว่าจะล้ำค่ากว่าปกติเช่นกัน"""
text06#0,"""การกำจัดศัตรูในเควสนี้นั้น<br>ผู้เล่นจะ<yellow>ไม่ได้รับไอเทมที่หล่นตามพื้น<c>เหมือนปกติ<br><br>แต่ของรางวัลจะถูกรวมอยู่ในคอนเทนเนอร์ขนาดยักษ์<br>ที่จะปรากฏขึ้นหลังจากผ่านเควสแล้ว<br><br>*แต่จะไม่ได้รับ Order Item และ Matter Item"""
text07#0,"""ใน Mining Base Defense Battle นี้<br>จะมีการแสดงชื่อผู้เล่นทรงคุณค่าหรือ MVP ด้วย<br><br>หากพบผู้เล่นคนใดที่ทำประโยชน์<br>ควรส่ง Good Job เพื่อเป็นกำลังใจให้แก่กัน<br>และผู้เล่นทุกคนสามารถส่งคำขอเป็น Friend ได้ตามอัธยาศัย"""
text00#1,"""『採掘基地防衛戦』について"""
text01#1,"""採掘基地防衛戦について説明します。<br><br>採掘基地防衛戦はダーカーの激しい攻撃から<br>拠点を守るクエストです。<br>一回の攻撃を「ウェーブ」といい、<br>最後のウェーブを終えた時、<br>拠点が1つでも残っていれば<br>クエストクリアとなります。<br><br>拠点は複数あるので、<br>声を掛け合ったり援護したりして<br>協力して防衛しましょう。"""
text02#1,"""採掘基地防衛戦中、フィールドで<br>『正結晶』を集める事で<br>様々な支援機能を使用出来ます。<br><br>各機能一人一回ずつ使用することができます。<br>(ポイントは消費しません）<br>ピンチな時やここぞという時に使いましょう。"""
