11_voice_NPC_5003_104#0,"""อืม... มันตัดสินใจยากนะเมื่อต้องเลือก Skill"""
text02#0,"""ข้าหมายถึง มันไม่ง่ายในการรีเซท<br>ทำให้ข้าต้องนั่งคิดแล้วคิดอีกจนไม่สามารถตัดสินใจได้"""
text03#0,"""นั่นก็เป็นเหตุผลที่ข้ายังไม่เรียนสกิลซักที!<br>เสียเวลาจริงๆ"""
text04#0,"""แล้วท่านล่ะ? ท่านคงไม่ได้มี Skill Point ที่ยังไม่ใช้ใช่ไหม?"""
text05#0,"""เฮ้ ทำไมไม่แสดงขั้นตอนการเรียนให้หมดล่ะ?<br>เอาหน่อยน่า"""
11_voice_NPC_5003_104#1,"""うーん、やっぱりスキルの選択って<br>悩むもんなんだよなぁ。"""
text02#1,"""そう簡単にはリセットもできないし<br>慎重に、慎重にって考えてたら<br>なーんか使わずに終わっててさ。"""
text03#1,"""……っていうか、おれまだスキル<br>なんにも覚えてないんだよな。<br>もったいなくてさ、へへっ……"""
text04#1,"""相棒、お前は大丈夫か？<br>スキルポイントって、気付かないうちに<br>溜まっちゃってたりするぜ？"""
text05#1,"""ちょうどいいから、確認がてら<br>スキル習得の段取りをおれに<br>見せてくれないか？\u3000なっ、頼むよ。"""
text00#0,"""เกี่ยวกับ [SkillPoint]"""
text01#0,"""ข้อมูลเกี่ยวกับ [Skill Point]<br><br>Skill Point นั้นมีไว้สำหรับแลกเพื่อเรียนรู้ [Class Skill]<br><br>ท่านสามารถได้รับ Skill Point ต่อเมื่อตัวละครของท่านLVอัพ หรือทำภารกิจ ClientOrder บางอย่างสำเร็จ"""
text02#2,"""การจะเรียนรู้ Class Skill ได้นั้น<br>จำเป็นต้องไปที่ ClassCounter<br><br>ClassCounter ตั้งอยู่ที่ GateArea - CentralHall"""
text03#2,"""ท่านสามารถเลือกเรียนรู้สกิลได้จาก SkillTree<br><br>SkillTree จะแสดงแผนภาพของ Class Skill ที่ท่านสามารถเรียนรู้ได้<br><br>การจะเรียนรู้ Class Skill ที่สูงขึ้น จำเป็นต้องอัพสกิลตั้งต้นให้ถึงระดับหนึ่งก่อน"""
text04#2,"""เมื่อเลือก Class Skill ที่ต้องการแล้ว<br>Skill Point จะถูกหักออก<br><br>ท่านไม่สามารถเรียนรู้สกิลหมดทั้ง SkillTree ได้<br>ก่อนใช้ Skill Point แต่ละครั้ง กรุณาคิดให้รอบคอบก่อน"""
text00#1,"""スキルポイントについて"""
text01#1,"""スキルポイントについて説明します。<br><br>スキルポイントはクラスごとの特有のスキル、<br>「クラススキル」を習得する為に使用します。<br><br>レベルアップやクライアントオーダーによって<br>スキルポイントを取得出来ます。"""
text02#3,"""クラススキルを習得する為には<br>クラスカウンターに行く必要があります。<br><br>クラスカウンターは<br>ゲートエリア・中央ホールにあります。"""
text03#3,"""クラスカウンターではスキルツリーを操作して<br>クラススキルを習得します。<br><br>スキルツリーとはクラススキルが<br>枝状につながれたツリー表です。<br><br>クラススキルのレベルを一定以上にすると、<br>下につながる次のクラススキルを<br>選べるようになる仕組みになっています。"""
text04#3,"""クラススキルを選択し、<br>スキルポイントを消費する事で<br>習得したりレベルを上げることが出来ます。<br><br>全てのクラススキルを<br>習得出来る訳ではありませんので、<br>スキルポイントは計画的に使用しましょう。"""
