Title#0,"""A Hectic White Day"""
Explanation#0,"""Hellooooo! <br>his mission isn't from ARKS, but from me, Shea!<br>Apparently there have been loads of reports of<br>swarms of super cute Rappies around<br>the Amduskian Skyscape!<br>Girls just love the flowers those little guys carry!<br>Come on, all the boys are out collecting them!<br>--------------------------------------------------<br>Failure conditions: Time limit runs out."""
Title#1,"""ホワイトデーは大わらわ"""
Explanation#1,"""はいはーい、この依頼もアークスではなく<br>シーおねえさんからお伝えしちゃいますっ！<br>惑星アムドゥスキアの浮遊大陸で<br>とってもキュートなラッピーの群れが<br>ばんばん確認されてるんだってっ！<br>あの子が持ってる花なんか<br>女の子たちに大人気！　ほら、男の子たちが<br>それを求めてどんどん出撃してるよーっ！<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""Collect White Day points!"""
SimpleExplanation#1,"""ホワイトデーPtをためろ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Must have a license to accept Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
