un_020260_0010#0,"""ทั้งเรื่องตัวปลอมทั้งเรื่องมังกรคลั่ง<br>พักนี้เรื่องที่เกี่ยวข้องกับ ARKS นี่<br>มีแต่เรื่องยุ่งๆ ทั้งนั้นเลยนะ"""
un_020260_0020#0,"""ข้าล่ะเหนื่อยหน่ายกับเรื่องพวกนี้จริงๆ<br>ข้าอยากให้เจ้าพวกนั้นมันหยุดก่อปัญหา<br>และข้าได้มีเวลาพักซะบ้าง"""
un_020260_0030#0,"""แต่บางครั้งข้าก็คิดนะ ว่าตกลงจริงๆ <br>แล้ว ARKS เนี่ยถือเป็นตัวตนแห่ง<br>ความยุติธรรมจริงหรือเปล่า"""
un_020260_0040#0,"""ถึงเราจะยอมรับว่า ARKS คือความถูกต้อง<br>แต่ความถูกต้องที่แท้จริงแล้วคืออะไรกันแน่?"""
un_020260_0050#0,"""ถ้าการกำจัด D-arkers คือความถูกต้อง<br>ถ้างั้นยิ่งกำจัด D-arkers ได้มากก็ยิ่งถูก<br>ต้องมาก อย่างนั้นน่ะเหรอ?"""
un_020260_0060#0,"""จะเรียกว่าเป็นทัศนคติแคบๆ หรือ<br>เรียกว่ามีอะไรบางอย่างที่เรามองข้ามไปดีล่ะ<br>ข้ารู้สึกว่ามีกลิ่นไม่ชอบมาพากลน่ะ"""
un_020260_0070#0,"""......อา ขอโทษที พอดีข้ากำลังเพ่ง<br>ความสนใจไปกับการรวบรวมข้อมูล<br>และก็ได้มาแต่ข้อมูลที่ไม่ดีๆ ทั้งนั้นเลยน่ะ"""
un_020260_0080#0,"""ข้าเชื่อว่าสิ่งที่ท่านทำน่ะถูกต้องแล้ว<br>ทั้งจากสายตาข้าและของคนอื่นด้วย"""
un_020260_0090#0,"""แต่ก็มีบางคนที่ไม่ได้มองแบบนั้นเช่นกัน<br>มีแค่เรื่องนี้เท่านั้น ที่จำไว้ก็ดี<br>......ถ้างั้นข้าไปล่ะนะ"""
un_020260_0010#1,"""……模倣体に暴走龍にと<br>最近のアークスに関係することは<br>本当にせわしないよねえ。"""
un_020260_0020#1,"""私なんかは、もうくたくたさ。<br>少しはこっちの都合とか<br>休ませるって考えが欲しいところだよ。"""
un_020260_0030#1,"""しっかし、私は時々思うんだけど<br>アークスというのは本当に<br>正義の存在なのかねえ。"""
un_020260_0040#1,"""百歩譲って正義だったとして<br>正義っていうものは何なんだろう？"""
un_020260_0050#1,"""ダーカーを倒したら正義。<br>より多くのダーカーを倒したら<br>よりよい正義。といったところかな？"""
un_020260_0060#1,"""なんとも視野が狭いというか<br>あえて見ていないところがあるというか<br>うっさんくさい感じだよねえ。"""
un_020260_0070#1,"""……ああ、いや、失礼。<br>情報収集を中心に動いているとさ<br>イヤなことばかり目についてね。"""
un_020260_0080#1,"""君の行いは正義だと思うよ。<br>私から見ても、他人から見てもね。"""
un_020260_0090#1,"""でも、そういう風に見ない奴もいる<br>ということだけは、覚えておくといい。<br>……それじゃあね。"""
