name01#0,"""Risa"""
name01#1,"""リサ"""
text00#0,"""ขอบคุณค่า<br>ใช้ได้เลยนะคะเนี่ย<br>ไว้จะรบกวนใหม่นะค้า"""
text01#0,"""หวัดดีค่า<br>เสร็จแล้วใช่มั้ยค้า<br>ไว้มีโอกาสจะมารบกวนใหม่น้า"""
text02#0,"""สวัสดีค่า<br>โอ้โห ดูดีเลยนะคะเนี่ย<br>ฮิฮิ...ขอบคุณมากน้า"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""お疲れ様でしたあ。<br>いいですねえ、これ。<br>またお願いしますよう。"""
text01#1,"""こんにちわあ。<br>出来たみたいですねえ。<br>またぜひぜひお願いしますねえ。"""
text02#1,"""こんにちわあ。<br>これはこれは、いい出来ですねえ。<br>ふふ……お疲れ様でしたあ。"""
text03#1,"""ありがとう03"""
text00#2,"""ยอดเลย ทำออกมาดีมากเลยนะเนี่ย<br>ดีกว่าที่หวังเอาไว้เยอะเลยล่ะ<br>ไว้คราวหน้าจะมารบกวนใหม่นะค้า"""
text01#2,"""อ๊ะอ๊ะอ๊ะ อะไรกันคะเนี่ย<br>ทำออกมาได้ดีกว่าทีคิดไว้ซะอีกนะคะ<br>แล้วจะมาขอให้ช่วยใหม่นะค้า"""
text02#2,"""ยอดไปเลยค่า<br>Risa ประทับใจสุดๆเลย<br>งั้นขอรับไปเลยน้า ไปละไปละไปละน้า"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""いいですねえ、いい出来ですよお。<br>リサが頼んだ以上のものですねえ。<br>ではではあ、またお願いしますねえ。"""
text01#3,"""あらあらあらら、これはこれは。<br>想像以上ですよお、上出来です。<br>また頼みますねえ。"""
text02#3,"""すばらしいですねえ。<br>リサは、大満足ですよお。<br>ではでは。ではではでは。"""
text03#3,"""本当にありがとう03"""
