Title#0,"""Undersea Exploration"""
Explanation#0,"""หน้าที่ของท่านคือตรวจสอบ Undersea Area ที่อยู่บนดาว Wopal<br><br>ขอให้ทำการสำรวจ Undersea Area อย่างอิสระ<br><br>-----------------------------------<br>เงื่อนไขความล้มเหลว / แพ้ในส่วนที่ลึกที่สุด"""
Title#1,"""海底探索"""
Explanation#1,"""惑星ウォパルの地中部分に存在する<br>海底の調査が目的となる。<br><br>海底を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""บุกเข้าไปให้ถึงชั้นในสุด!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
