name_7700#0,"""シェリダン"""
ssn_014450_0001#0,"""ん？\u3000エアリオのアークスだと？<br>なにをしに来たんだ。"""
ssn_014450_0002#0,"""ひとつ忠告しておく。<br>リテムの砂漠を甘く見るなよ。"""
ssn_014450_0003#0,"""手強いエネミーと、過酷な環境……。<br>ちょっとの油断が命取りになるぞ。"""
ssn_014450_0101#0,"""おまえが食材を集めたんだってな。<br>フン、こんな怪我がなければ自分の力で……。"""
ssn_014450_0102#0,"""だが、助かったことは事実だ。<br>礼は言っておこう。"""
ssn_014450_0201#0,"""……なに？<br>見舞いに来た、だと？"""
ssn_014450_0202#0,"""フン、余計なお世話だ。"""
ssn_014450_0203#0,"""……だが、ちょうどいい。<br>おまえに頼みたいことがある。"""
ssn_014450_0301#0,"""俺の代わりに野営地の見回りを頼みたい。<br>今、詳しい位置の座標を送る。"""
ssn_014450_0302#0,"""いいか、頼まれたからには、<br>手を抜くんじゃないぞ？"""
ssn_014450_0401#0,"""そうか、ならいい……。<br>よそへ行ってくれ。"""
ssn_014450_0501#0,"""世話になったな。"""
ssn_014450_0502#0,"""なにか困りごとがあったら、遠慮なく俺に言え。<br>いいな？"""
