text01#0,"""ถ้าพูดถึงอาวุธที่เหมาะกับ Hunter ที่สุดแล้ว<br>มันก็ต้องเป็นดาบล่ะนะ"""
text02#0,"""ทนทานและแข็งแกร่งที่สำคัญต้องใช้งานง่าย<br>จะมีอาวุธที่ไหนที่มีคุณสมบัติครบทั้งสามอย่างนี้อีกเหรอ"""
text03#0,"""แต่ถึงแม้จะเป็นอาวุธที่ดูง่ายๆ แต่ดาบเป็นสิ่งที่<br>ต้องใช้ความคุ้นเคยเช่นเดียวกัน ท่านต้องนำมัน<br>ไปใช้ในสนามรบถึงจะเข้าใจมันได้อย่างถ่องแท้"""
text04#0,"""บริเวณแถวนี้มี Gigush อยู่พอดี<br>ลองเอานี้ไปแล้วไปลองฝึกกับพวกมันซะหน่อยซิ"""
text05#0,"""Sword"""
text06#0,"""ดาบเป็นอาวุธระยะประชิดพื้นฐานที่ง่ายต่อการใช้งานแม้แต่มือใหม่"""
text07#0,"""ลองใช้การโจมตีด้วยดาบแบบพื้นฐานพร้อมกับ Photon Move<br><br>สำหรับอาวุธระยะประชิด ดาบมีระยะโจมตีที่เหมาะสม<br>และใช้จู่โจมได้ง่าย เหมาะสมที่จะใช้เรียนการต่อสู้พื้นฐาน"""
text01#1,"""ハンターの特徴的武装といえば<br>やはりソードだな。"""
text02#1,"""巨大かつ頑丈、それでいて扱いやすい。<br>三拍子の揃ったすばらしい武装だ。"""
text03#1,"""まあ、いくら扱いやすいとはいえ<br>基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ソードが一本余っている。<br>これを使って少し練習してくるといい。"""
text05#1,"""『ソード』について"""
text06#1,"""武器「ソード」について、説明します。<br><br>ソードは、初心者にも扱いやすいスタンダードな打撃武器です。"""
text07#1,"""ソード系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>近接武器の中では、リーチも長く、クセも少ないので<br>基本の戦闘を覚えるのに適しているでしょう。"""
