IncidentName#0,"""幻創の未確認生物を撃退せよ！"""
TrialBeginMsg#0,"""制限時間内に全ての未確認生物を撃退せよ！"""
TrialAbstract#0,"""制限時間内に未確認生物を撃退せよ！"""
NpcComOnBegin#0,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#0,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#0,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#0,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#0,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#1,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#1,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#1,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#1,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#1,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#2,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#2,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#2,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#2,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#2,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#3,"""NPC通信（開始時）<br>の<br>テキストです"""
NpcComOnSuccess#3,"""NPCセリフ（成功時）<br>の<br>テキストです"""
NpcComOnFailure#3,"""NPC通信（失敗時）<br>の<br>テキストです"""
NpcComOnHalf#3,"""目標残り半分以下<br>の<br>テキストです"""
NpcComOnLastOne#3,"""目標残り1匹<br>の<br>テキストです"""
NpcComOnBegin#4,"""地球上のデータでも未確認の<br>謎の生物が空中を飛び回っています！<br>混乱を避けるため、この場で撃退を！"""
NpcComOnBeginNext#0,"""あの生物、移動中はエーテルを変質させ<br>こちらの攻撃を無効化しています！<br>動きを止めている間に攻撃を！"""
NpcComOnSuccess#4,"""謎の生物、反応消失！\u3000エーテル拡散！<br>みなさん、お疲れさまでした！<br>……あれ、何の生物だったんでしょう？"""
NpcComOnFailure#4,"""逃げられてしまいましたね……<br>これ以上の追跡は難しいですので<br>通常任務に戻りましょう。"""
NpcComOnHalf#4,"""目標、残り半数です！<br>残さず撃退しちゃいましょう！"""
NpcComOnLastOne#4,"""目標、残りあとひとつ！<br>……って、なんだか動きに変化が。<br>注意してください！"""
