linewindow100#0,"""ข้อมูลเกี่ยวกับการ [Craft]"""
text00#0,"""ข้อมูลเกี่ยวกับการ [Craft]"""
text01#0,"""ข้อมูลเกี่ยวกับการ [Craft]<br>Craft คือการเพิ่มความสามารถให้กับอาวุธหรือเครื่องป้องกัน<br>รวมทั้งผลิต Disc ที่บรรจุ Photon Magic ที่ผ่านการปรับปรุงแล้วขึ้นมา<br>หรือก็คือเป็นระบบสำหรับ <yellow>[ปรับปรุงไอเทมหรือ Photon Magic]<c> นั่นเอง<br><br><yellow>ประเภทของการ [Craft]<c><br> <green>Equipment Extend<c><br>  เป็นระบบสำหรับ<c ff007f>เลือกความสามารถใหม่<c>ให้กับอาวุธหรือเครื่องป้องกัน<br>  เป็นระบบที่แตกต่างกับการตีบวก ซึ่งจะทำให้อุปกรณ์ที่ไม่มีค่าได้รับความสามารถใหม่ที่ร้ายกาจ<br>  โดยที่หน้าตาไม่เปลี่ยนไปจากเดิม<br> <green>Technic Customize<c><br>  เป็นการสร้าง [Custom Disc] ที่ผ่านการปรับปรุงให้มีประสิทธิภาพดีขึ้น<br>  แต่รองรับเฉพาะ Photon Magic ที่เคยเรียนรู้แล้วเท่านั้น<br>  ผู้เล่นสามารถเรียนรู้ Custom Disc ที่สร้างขึ้นใหม่ได้ทันทีผ่านคำสั่ง<c ff007f>ใช้งาน<c>"""
text02#0,"""ผู้เล่นสามารถใช้งานระบบ Craft ผ่านทาง <yellow>My Room Terminal ของตนเอง<c><br><br>เมื่อดำเนินการ Craft ไปจนถึงระดับที่สามารถ<yellow>ปลดล็อค[ผลงาน Craft]<c><br>จะมีผลทำให้ <yellow>Craft Level เพิ่มขึ้น<c> โดย Craft Level นี้<br>ยิ่งมีระดับสูงก็ยิ่งสามารถ Craft ของที่มีประสิทธิภาพสูงขึ้นเท่านั้น<br><br>นอกจากนั้นผู้อื่นยังสามารถส่งคำขอ [จ้างวาน Craft] มายังตัวผู้เล่นได้<br>โดยผู้เล่นสามารถกำหนดข้อความที่ต้องการสื่อสารหรือโฆษณาได้ผ่านทาง<br>My Room Terminal ที่หัวข้อ [Craft] > [Signboard Setting]<br><br><yellow>วิธีอัพ Craft Level<c><br> Craft Level นั้นจะขึ้นช้ามากหากผู้เล่นเอาแต่ผลิตของเดิม<br> [ที่เคยผ่านการปลดล็อคผลงานแล้ว]ซ้ำไปมา<br> ทางที่ง่ายที่สุดคือแนะนำให้ของผลิตของดูหลายๆแบบพยายามอย่าให้ซ้ำกัน"""
text03#0,"""นอกจากการ Craft ด้วยตนเองแล้ว<br>ยังสามารถ [สั่ง Craft] กับผู้เล่นอื่นได้ด้วย<br>ซึ่งการสั่ง Craft นั้นสามารถทำได้โดยติดต่อผ่าน<br><yellow>My Room Terminal ของผู้เล่นที่เราต้องการจ้างวาน<c>โดยตรง<br><br>*สามารถไปยัง My Room ของผู้เล่นที่เราต้องการจ้างวานได้ทาง<br>Visiphone หัวข้อ [Craft] > [ค้นหา Crafter]<br><br>การสั่ง Craft นั้นช่วยให้ผู้เล่นสามารถได้รับไอเทม<br>ที่ตนเองยังไม่สามารถสร้างเองได้ง่ายขึ้น"""
text04#0,"""ผู้เล่นสามารถรับของหรือยกเลิกการสั่ง Craft<br>ที่จ้างวานผู้เล่นอื่นได้ผ่านทาง<br>Visiphone หัวข้อ [Craft] > [ใบสั่ง Craft ที่อยู่ระหว่างจ้างวาน]<br><br>ในทางกลับกัน ผู้เล่นสามารถตรวจสอบของที่จ้างวานหรือดำเนินการ Craft<br>ที่ได้รับการจ้างวานจากผู้อื่นได้ผ่านทาง<br>My Room Terminal ของตนในหัวข้อ [Craft ตามคำจ้างวาน]<br><br>*ผู้เล่นสามารถเรียกดูคำแนะนำนี้ซ้ำอีกครั้งได้ทุกเวลาที่ต้องการ<br>ผ่านทางเมนู [System] > [Information] > [Tutorial]"""
linewindow100#1,"""『クラフト』について"""
text00#1,"""『クラフト』について"""
text01#1,"""「クラフト」について説明します。<br>クラフトとは、武器やユニットの性能を書き換えたり、<br>テクニックの性能を調整するディスクの作成といった、<br><yellow>「アイテムやテクニックの改造」<c>を行うシステムです。<br><br><yellow>■主な「クラフト」の種類<c><br>\u3000<green>・武装エクステンド<c><br>\u3000\u3000武器やユニットの性能を<c ff007f>特定の性能に書き換える<c>機能です。<br>\u3000\u3000強化値アップとは異なり、もとは弱い性能の装備品でも<br>\u3000\u3000見た目はそのままに、強力な性能に書き換えることができます。<br>\u3000<green>・テクニックカスタマイズ<c><br>\u3000\u3000習得しているテクニックの性能に対して、<br>\u3000\u3000様々な調整を加える「カスタムディスク」を作成します。<br>\u3000\u3000カスタムディスクを<c ff007f>使用する<c>ことで、効果を適用します。"""
text02#1,"""クラフトは、<yellow>自分のマイルーム端末<c>から実行できます。<br><br>クラフトを実行し、<yellow>「クラフト実績」を解除<c>していくと<br><yellow>クラフトレベルが上昇<c>し、より上位のものが作成できたり<br>品質の良いものができたりします。<br><br>また、他のプレイヤーからあなたに対して「クラフトの依頼」が<br>発注されることがあります。マイルーム端末の「クラフト」から<br>「看板設定」を行うと、あなたの希望やコメントを登録できます。<br><br><yellow>■クラフトレベルアップへの近道<c><br>\u3000クラフトレベルは「解除した実績の種類数」で上昇するため、<br>\u3000同じ内容の繰り返しではなかなかレベルは上がりません。<br>\u3000広く浅く、様々なクラフトにチャレンジしましょう。"""
text03#1,"""クラフトは「自分でクラフトする」以外に、<br>「他のプレイヤーに発注」して作ってもらうこともできます。<br>発注は、<yellow>相手のマイルームのマイルーム端末<c>から<br>行うことができます。<br><br>※ビジフォンの「クラフト＞クラフター検索」で<br>\u3000検索結果のクラフターのマイルームに移動できます。<br><br>発注では、自分自身が作成できないレシピであっても、<br>依頼することができます。"""
