un_046040_0010#0,"""哈……哈……！"""
un_046040_0015#0,"""呀，my friend！<br>不好意思啊，這麼急急忙忙的！"""
un_046040_0020#0,"""話說啊my friend<br>你有看到約瑟芬嗎！？"""
un_046040_0030#0,"""沒看到"""
un_046040_0040#0,"""在納貝流士看到過"""
un_046040_0050#0,"""這樣啊……<br>唔……約瑟芬……<br>你到底跑哪去了……！"""
un_046040_0060#0,"""你說什麼，在納貝流士！？<br>能不能告訴我是什麼樣的！"""
un_046040_0070#0,"""唔，紅紅的，而且顏色很鮮艷……"""
un_046040_0075#0,"""你這說的不是白翼飛鳥嘛！根本就不是約瑟芬！"""
un_046040_0080#0,"""其實，約瑟芬它好像離家出走了……<br>我忙著幹其他活的時候，一不留神<br>它就不知道飛到哪兒去了！"""
un_046040_0090#0,"""我覺得它應該還沒離開ARKS戰艦就是了<br>……啊，我可愛的約瑟芬。<br>你到底跑哪兒去了……！"""
un_046040_0100#0,"""……不，這是在挑戰我的愛！<br>你是在測試我對不對，約瑟芬！<br>那我可得追上你才行啊！"""
un_046040_0110#0,"""My friend！<br>那就再會啦！"""
