SharedServers#0,"""เซิร์ฟเวอร์ร่วม"""
MoveSharedServers#0,"""ย้ายไปยังเซิร์ฟเวอร์ร่วม"""
NormalServers#0,"""เซิร์ฟเวอร์ทั่วไป"""
ReturnNormalServers#0,"""กลับไปยังเซิร์ฟเวอร์ทั่วไป"""
SelectPlace#0,"""เลือกสถานที่เป้าหมาย"""
SelectPlaceMessage#0,"""Telepipe อยู่ในพื้นที่ด้านนอก<br>ท่านต้องการจะไปตำแหน่งใด?"""
TransportPlace#0,"""เป้าหมาย"""
Telepipe#0,"""Telepipe"""
StartPoint#0,"""จุดเริ่มต้น"""
ReturnCampship#0,"""ต้องการจะกลับไปที่ Camp Ship?"""
ReturnCampshipWarning#0,"""ท่านยังไม่ได้ของรางวัลทั้งหมดที่มีอยู่ ยืนยันที่จะกลับไป Camp Ship?<br><br>เพื่อที่จะรับรางวัลเลือก [ไม่]<br>และเข้าไปยังสถานี<br><br><red>*เมื่อท่านกลับไป Camp Ship<br>ท่านจะไม่สามารถรับรางวัลได้อีก<c>"""
SharedServers#1,"""共有サーバー"""
MoveSharedServers#1,"""共有サーバーへ移動します。"""
NormalServers#1,"""通常サーバー"""
ReturnNormalServers#1,"""通常サーバーへ戻ります。"""
SelectPlace#1,"""転送先選択"""
SelectPlaceMessage#1,"""フィールドにテレパイプが置かれています。<br>どちらに移動しますか？"""
TransportPlace#1,"""転送先"""
Telepipe#1,"""テレパイプ"""
StartPoint#1,"""スタート位置"""
ReturnCampship#1,"""キャンプシップに戻りますか?"""
ReturnCampshipWarning#1,"""報酬を受け取り可能な数まで受け取っていませんが、<br>キャンプシップに戻りますか？<br><br>報酬を受け取る場合は、「いいえ」を選択し、<br>エクストリーム端末にアクセスしてください。<br><br><red>※一度キャンプシップに戻ると、<br>\u3000報酬を受け取ることができなくなります。<c>"""
QuestClear#0,"""ท่านไม่สามารถพื้นที่ได้หลังจากจบเควสแล้ว"""
CampshipToField#0,"""ทางออก"""
ToFieldClear#0,"""ท่านไม่สามารถไปถึงฟิลด์ได้หลังจากผ่านเควสแล้ว"""
ToFieldFaild#0,"""ท่านไม่สามารถไปถึงฟิลด์ได้หลังจากเควสล้มเหลว"""
ToOtherSinglePartyArea#0,"""ท่านไม่ได้รับอนุญาตให้เข้าพื้นที่ส่วนนี้"""
QuestClear#1,"""クエスト終了後は<br>フィールドに降りることは<br>できません。"""
CampshipToField#1,"""出口"""
ToFieldClear#1,"""クエストクリア後は<br>フィールドに降りることは<br>できません。"""
ToFieldFaild#1,"""クエスト失敗後は<br>フィールドに降りることは<br>できません。"""
ToOtherSinglePartyArea#1,"""この先のエリアには<br>進入が許可されていません。"""
