name01#0,"""シエラ"""
text01#0,"""<red>ナックルギア<c>について<br>説明します！"""
text02#0,"""ナックルギアは連続攻撃することで<br>ギアの段階が上昇し、<red>段階に応じて<br>攻撃速度が速く<c>なります。"""
text03#0,"""それでは、連続で攻撃を繰り出して<br><red>ギアを最大まで<c>ためてみましょう。"""
text101#0,"""課題３：<yellow>ギアを最大までためる"""
train_title#0,"""課題３：<yellow>ギアを最大までためる"""
tut_title#0,"""『ナックルギア』について"""
text100#0,"""・<%NormalAttack>通常攻撃でギアをためる"""
text100_3b#0,"""・<%NormalAttack>通常攻撃でギアをためる"""
tut_win_title#0,"""『ナックルギア』について"""
tut_win_text100#0,"""クラススキル「ナックルギア」を<br>習得しているとナックルの性能を<br>更に引き出すことができます。<br><br>攻撃し続けることでギア２、ギア３と<br>上昇していきます。<br><br>ナックルギアの段階に応じて<br>攻撃速度が速くなります。"""
