un_012600_0005#0,"""[Not Really Okay]<br>ข้อความชั่วคราว"""
un_012600_0010#0,"""อ๊ะ...... ว่าไง คู่หู"""
un_012600_0020#0,"""ข้าได้ยินมาแล้วล่ะ คุณ Zeno <br>หายสาบสูญไปงั้นสินะ"""
un_012600_0030#0,"""ทั้งๆ ที่เขาเป็นรุ่นพี่ที่ดีที่คอยเอาใจใส่<br>เรื่องเล็กๆ น้อยๆ ของพวกเราเสมอ<br>ทุกทีที่พบแท้ๆ......"""
un_012600_0040#0,"""อ๊ะ...... เปล่า โทษที<br>แค่หายสาบสูญไป<br>ใช่ว่าจะตายซักหน่อย"""
un_012600_0050#0,"""ถ้าแค่ไม่รู้ว่าหายไปไหนแค่นั้นล่ะก็......<br>หากออกตามหาล่ะก็ต้องเจอแน่นอน <br>อื้ม ใช่ ใช่แล้ว ไม่ผิดแน่"""
un_012600_0060#0,"""......แต่ที่ข้ากังวลจริงๆ น่ะ ก็คือคุณ <br>Echo ที่อยู่ด้วยกันกับเขาเสมอมากกว่า"""
un_012600_0070#0,"""ถึงเค้าจะซ่อนมันเอาไว้ก็เถอะ<br>แต่เห็นชัดเลยว่าเค้าติดคุณ Zeno<br>ถ้าไม่ทำอะไรฝืนตัวเองก็คงจะดีหรอก"""
un_012600_0080#0,"""ข้าเองก็กำลังตามหาคนหาย<br>เหมือนกัน เพราะงั้นก็เลย<br>พอเข้าใจความรู้สึกน่ะนะ"""
un_012600_0090#0,"""ถ้าเกิดอะไรขึ้นมา พวกเรา<br>ก็ต้องคอยช่วยเหลือเค้า<br>โอเคนะ คู่หู"""
un_012600_0005#1,"""【大丈夫、と言ったら嘘になる】<br>仮テキスト"""
un_012600_0010#1,"""あ……よう、相棒。"""
un_012600_0020#1,"""聞いたぜ、あのゼノさんが<br>行方不明になっちゃった、って。"""
un_012600_0030#1,"""会うたびちょこちょこ声をかけて<br>来てくれて、気づかってくれる<br>いい先輩だったのに……"""
un_012600_0040#1,"""あっ……いや、悪い。<br>行方不明なだけだもんな。<br>死んだわけじゃないもんな。"""
un_012600_0050#1,"""行方が知れないだけなら……<br>きっと探してれば見つかる。<br>うん、そう、そうだ。間違いない。"""
un_012600_0060#1,"""……でも、気になるのは<br>いつも一緒にいたエコーさんか。"""
un_012600_0070#1,"""隠してるつもりだったんだろうけど<br>ゼノさんに完全べったりだったからな。<br>無理したりしなきゃいいんだけど……"""
un_012600_0080#1,"""おれも行方不明の人を<br>探しているからさ。<br>少しだけ、気持ちはわかるんだ。"""
un_012600_0090#1,"""なにかあったら、おれたちが<br>うまーくフォローしてあげようぜ。<br>なっ、相棒。"""
