text01#0,"""ふぅー。<br>結構キツかったね……"""
text02#0,"""暗黒に支配されし異形どもよ<br>安らかに眠れ……"""
text03#0,"""もうダーカー相手はしばらくいいわ。<br>……っていうかエネミー<br>見たくねぇ……"""
11_voice_NPC_5318_101#0,"""<%me>さん。<br>手伝ってくれて<br>本当にありがとうございます！"""
text05#0,"""よーし、この調子で頑張ろう！"""
11_voice_NPC_5323_106#0,"""……疲れたっつってんだろ。<br>少しは休ませ……"""
11_voice_NPC_5320_100#0,"""我が魂は<br>まだまだ悪鬼羅刹との<br>戦いを求めている。"""
text08#0,"""うん！<br>ありがとう！<br>†コア†！\u3000ムサシ！"""
text09#0,"""回復剤を買い揃えて<br>もう一回、行こう！"""
text10#0,"""うむ。<br>浮遊大陸に蒼天を取り戻す<br>その時まで！"""
11_voice_NPC_5323_109#0,"""……こいつら<br>人の話聞いてねー。"""
text12#0,"""あ、そうだ。<br>これ、お礼です！<br>ありがとうございました！"""
