un_010070_0010#0,"""โอ้ <%me><br>ดูท่าเราจะเจอกันบ่อยในระหว่างปฏิบัติภารกิจนะ<br>มีเป้าหมายอะไรนอกเหนือไปกว่าภารกิจหรือเปล่า?"""
un_010070_0020#0,"""อ๊ะ เอ่อเปล่า ถ้าไม่อยากพูดก็ไม่เป็นไร<br>เพราะแต่ละคนต่างก็มีเหตุผล<br>ของตัวเองที่มาเป็น ARKS อยู่แล้ว"""
un_010070_0030#0,"""เพราะ ARKS เป็นตัวตนที่น่าถวิลหาน่ะนะ<br>คนที่มาเป็นด้วยเหตุผลนั้นก็มีมากแต่จะด้วย<br>เหตุผลอะไรมันก็ไม่ใช่เรื่องที่เลวร้ายหรอก"""
un_010070_0040#0,"""หือ? แล้วเหตุผลของข้าที่มาเป็น ARKS น่ะเหรอ?"""
un_010070_0050#0,"""คำตอบง่ายนิดเดียว<br>เพราะข้าไม่มีทางเลือกยังไงล่ะ"""
un_010070_0060#0,""".....เอาเถอะ ไม่ว่าเหตุผลจะเป็นอะไร<br>ก็อย่าฝืนตัวเองจนเกินไปล่ะ<br>ยังไงชีวิตตัวเองก็สำคัญที่สุดนะ"""
un_010070_0070#0,"""งั้นก็ไว้เจอกัน!"""
un_010070_0010#1,"""おう、<%me><br>お前さんとはよく探索中に出会うな。<br>何か明確な目的でもあるのか？"""
un_010070_0020#1,"""あ、いや、言いたくないならいいんだ。<br>アークスになる理由なんて<br>人それぞれだからな。"""
un_010070_0030#1,"""アークスって、憧れの存在だからな<br>そういう理由でなりたがるやつも多い。<br>理由が何でも別に悪くないと思うぜ。"""
un_010070_0040#1,"""ん？\u3000俺がアークスになった理由？"""
un_010070_0050#1,"""答えは簡単。<br>選択肢がそれしかなかったから。"""
un_010070_0060#1,"""……まあ、理由がなんであれ<br>無理せずほどほどに頑張れ。<br>命あってのなんとやら、だからな。"""
un_010070_0070#1,"""それじゃあな。"""
