name01#0,"""Aki"""
name01#1,"""アキ"""
text00#0,"""ขอบใจนะ<br>ไว้มีอะไรจะมาขอให้ช่วยใหม่"""
text01#0,"""อืม ดีมาก<br>เหมือนที่สั่งเป๊ะ<br>ขอบใจนะ"""
text02#0,"""อ่อ เสร็จแล้วเหรอ<br>อืม โอเคเรียบร้อย<br>ขอบใจนะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""ありがとう。<br>また何かあれば、お願いするよ。"""
text01#1,"""うん、申し分ないね。<br>依頼通りだ。<br>助かったよ、ありがとう。"""
text02#1,"""ああ、出来たのかい。<br>うん、問題ないね。<br>感謝するよ。"""
text03#1,"""ありがとう03"""
text00#2,"""อืม สมบูรณ์แบบ<br>แถมยังทำออกมาได้ดีกว่าที่สั่งซะอีก<br>ขอบคุณมากนะ"""
text01#2,"""ออกมาดีกว่าที่คิดอีกนะ...<br>น่าดีใจจริงๆ<br>ขอบคุณมากนะ"""
text02#2,"""หืม เก่งจังเลยนะ<br>ทำออกมาได้ดีขนาดนี้ ตกใจเลย<br>ขอบคุณมากนะ ไว้มาช่วยอีกล่ะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""うん、申し分ない出来だよ。<br>むしろ期待以上と言うべきか。<br>ともかく助かったよ。"""
text01#3,"""思った以上の出来だな……<br>非常に、喜ばしいことだよ。<br>ありがとう。"""
text02#3,"""ふむ、凄いな。<br>想定以上の出来で、驚いてる。<br>感謝するよ、次も頼む。"""
text03#3,"""本当にありがとう03"""
