GREET_RANGE#0,""".....อะไรล่ะ"""
GREET_SHOP_OPEN#0,"""ซิ้อเค้กซิ"""
GREET_SHOP_DISABLE#0,"""วันนี้ถูกจองหมดแล้ว"""
GREET_SHOP_CLOSE#0,""".....หึ"""
HINT_EAST#0,"""จากทางตะวันออก"""
HINT_WEST#0,"""จากทางตะวันตก"""
HINT_SOUTH#0,"""จากทางทางใต้"""
HINT_NORTH#0,"""จากทางจากทางเหนือ"""
GREET_RANGE#1,"""……なによ"""
GREET_SHOP_OPEN#1,"""ケーキ買って。"""
GREET_SHOP_DISABLE#1,"""今日は貸し切り。"""
GREET_SHOP_CLOSE#1,"""……ふん。"""
HINT_EAST#1,"""東だから"""
HINT_WEST#1,"""西だから"""
HINT_SOUTH#1,"""南だから"""
HINT_NORTH#1,"""北だから"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""คุย"""
C_ORDER_ST#0,"""ฟัง"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
