ra_010670_0010#0,"""<%me>閣下。<br>我知道了，我終於弄明白了......"""
ra_010670_0020#0,"""雪原的環境數值，還有裡面的<br>達卡因子所代表的意義，我終於弄明白了。"""
ra_010670_0030#0,"""......那片雪原地區是距今約<br>40年前被創造出來的。"""
ra_010670_0040#0,"""還有，很有可能<br>是被達卡創造出來的。"""
ra_010670_0050#0,"""你問我為何要創造出雪原地區？<br>這是達卡的攻擊啊......<br>......不。"""
ra_010670_0060#0,"""......是『黑暗法爾斯』。"""
ra_010670_0070#0,"""沒錯......年代也完全吻合......<br>這麼簡單的事實，我怎麼會<br>沒注意到其中的關聯性呢？"""
ra_010670_0080#0,"""40年前，被三英雄擊退的<br>達卡首領、『黑暗法爾斯』。<br>他們的決戰地點，一定就是那裡。"""
ra_010670_0090#0,"""納貝流士原本並沒有雪原<br>是個氣候穩定、充滿植物的行星。"""
ra_010670_0100#0,"""然而，在『黑暗法爾斯』<br>以超越人類智慧的攻擊之下，整顆行星的環境<br>都為之改變，雪原就是那時被創造出來的。"""
ra_010670_0110#0,"""這樣思考的話，那些異常數值<br>以及氣候的巨變，都解釋得通了。<br>所以情況才會這麼奇怪......"""
ra_010670_0120#0,"""不過，如果只有這樣的話<br>應該不至於構成需要殺人滅口的秘密。<br>一定還有某種其他的原因......"""
ra_010670_0130#0,"""A.P.238/3/31"""
ra_010670_0010#1,"""<%me>さん。<br>わかった、わかりましたよ……"""
ra_010670_0020#1,"""凍土の環境値、そしてその内の<br>ダーカー因子が示すことが何なのか。"""
ra_010670_0030#1,"""……あの凍土は、今からおよそ<br>４０年前に生みだされたものです。"""
ra_010670_0040#1,"""そしておそらくは<br>ダーカーの手によって、です。"""
ra_010670_0050#1,"""何のために生みだしたか、って？<br>攻撃ですよ、ダーカーの……<br>……いえ。"""
ra_010670_0060#1,"""……『ダークファルス』の、です。"""
ra_010670_0070#1,"""そうだ……年代も完全に一致する……<br>どうしてこんな簡単なことに<br>気付けなかったんだ、私は。"""
ra_010670_0080#1,"""４０年前に、三英雄によって撃退された<br>ダーカーの長、『ダークファルス』。<br>その決戦地が、きっとあそこなんです。"""
ra_010670_0090#1,"""もともと、ナベリウスは氷なんて<br>存在しない、穏やかな緑の惑星だった。"""
ra_010670_0100#1,"""しかし『ダークファルス』の<br>人知を超えた一撃により、惑星の環境が<br>変わるほどの凍土が生みだされた。"""
ra_010670_0110#1,"""そう考えれば、異常な数値も<br>気候の激変も、すべて納得できる。<br>だから、おかしかったんだ……"""
ra_010670_0120#1,"""でも、これだけじゃ<br>命を狙うほどの秘密には足りない。<br>きっとまだ、何かあります……"""
ra_010670_0130#1,"""A.P.238/3/31"""
