Npc48_01_010#0,"""เห็นเมืองที่อยู่ไกลๆโน่นมั้ย<br>นั่นแหละเมืองที่พวกชั้นอยู่<br>คนที่นี่ส่วนใหญ่ก็มาจากที่นั่นแหละ"""
Npc48_01_010#1,"""遠くに見える市街地はねー<br>あたしたちが住んでいるところだよー。<br>一般市民は、あっちが住居なのー。"""
Npc48_02_010#0,"""เห็นเมืองที่อยู่ไกลๆโน่นมั้ย<br>นั่นแหละเมืองที่พวกชั้นอยู่<br>คนที่นี่ส่วนใหญ่ก็มาจากที่นั่นแหละ"""
Npc48_02_010#1,"""遠くに見える市街地はねー<br>あたしたちが住んでいるところだよー。<br>一般市民は、あっちが住居なのー。"""
Npc48_03_010#0,"""เห็นเมืองที่อยู่ไกลๆโน่นมั้ย<br>นั่นแหละเมืองที่พวกชั้นอยู่<br>คนที่นี่ส่วนใหญ่ก็มาจากที่นั่นแหละ"""
Npc48_03_010#1,"""遠くに見える市街地はねー<br>あたしたちが住んでいるところだよー。<br>一般市民は、あっちが住居なのー。"""
Npc48_04_010#0,"""ชั้นอ่ะนะ ทำงานอยู่ที่เขตชายทะเล <br>มองจากที่นี่ไม่เห็นหรอก<br>แต่ที่นั่นอ่ะ มีทะเลสาบที่กว้างมากๆอยู่ด้วยนะ"""
Npc48_04_010#1,"""あたしはねー、ここから見えないけど<br>海洋地区で働いてるんだよー。<br>でーっかい湖、あるんだよー。"""
Npc48_05_010#0,"""ชั้นอ่ะนะ ทำงานอยู่ที่เขตชายทะเล <br>มองจากที่นี่ไม่เห็นหรอก<br>แต่ที่นั่นอ่ะ มีทะเลสาบที่กว้างมากๆอยู่ด้วยนะ"""
Npc48_05_010#1,"""あたしはねー、ここから見えないけど<br>海洋地区で働いてるんだよー。<br>でーっかい湖、あるんだよー。"""
Npc48_06_010#0,"""ชั้นอ่ะนะ ทำงานอยู่ที่เขตชายทะเล <br>มองจากที่นี่ไม่เห็นหรอก<br>แต่ที่นั่นอ่ะ มีทะเลสาบที่กว้างมากๆอยู่ด้วยนะ"""
Npc48_06_010#1,"""あたしはねー、ここから見えないけど<br>海洋地区で働いてるんだよー。<br>でーっかい湖、あるんだよー。"""
Npc48_07_010#0,"""ShopArea เนี่ย<br>เป็นศูนย์รวมของพวก ARKS และชาวเมืองเลยล่ะ"""
Npc48_07_020#0,"""แต่คนธรรมดาอย่างพวกชั้น <br>เข้าไปที่ GateArea ไม่ได้หรอก"""
Npc48_07_010#1,"""ショップエリアはねー<br>アークスと一般市民の交流場でも<br>あるんだよー。"""
Npc48_07_020#1,"""あたしたち一般市民は<br>ゲートエリアには入れないからねー。"""
Npc48_08_010#0,"""ShopArea เนี่ย<br>เป็นศูนย์รวมของพวก ARKS และชาวเมืองเลยล่ะ"""
Npc48_08_020#0,"""แต่คนธรรมดาอย่างพวกชั้น <br>เข้าไปที่ GateArea ไม่ได้หรอก"""
Npc48_08_010#1,"""ショップエリアはねー<br>アークスと一般市民の交流場でも<br>あるんだよー。"""
Npc48_08_020#1,"""あたしたち一般市民は<br>ゲートエリアには入れないからねー。"""
Npc48_mb9_010#0,"""ShopArea เนี่ย<br>เป็นศูนย์รวมของพวก ARKS และชาวเมืองเลยล่ะ"""
Npc48_mb9_020#0,"""แต่คนธรรมดาอย่างพวกชั้น <br>เข้าไปที่ GateArea ไม่ได้หรอก"""
Npc48_mb9_030#0,"""เพราะงั้นก็เลยไปขอรับภารกิจอะไรพวกนี้ไม่ได้น่ะ"""
Npc48_mb9_010#1,"""ショップエリアはねー<br>アークスと一般市民の交流場でも<br>あるんだよー。"""
Npc48_mb9_020#1,"""あたしたち一般市民は<br>ゲートエリアには入れないからねー。"""
Npc48_mb9_030#1,"""だからー、情報もいろいろと<br>入ってこなかったりするんだー。"""
Npc48_mb10_010#0,"""ShopArea เนี่ย<br>เป็นศูนย์รวมของพวก ARKS และชาวเมืองเลยล่ะ"""
Npc48_mb10_020#0,"""แต่คนธรรมดาอย่างพวกชั้น <br>เข้าไปที่ GateArea ไม่ได้หรอก"""
Npc48_mb10_030#0,"""เพราะงั้นก็เลยไปขอรับภารกิจอะไรพวกนี้ไม่ได้น่ะ"""
Npc48_mb10_010#1,"""ショップエリアはねー<br>アークスと一般市民の交流場でも<br>あるんだよー。"""
Npc48_mb10_020#1,"""あたしたち一般市民は<br>ゲートエリアには入れないからねー。"""
Npc48_mb10_030#1,"""だからー、情報もいろいろと<br>入ってこなかったりするんだー。"""
Npc48_mb11_010#0,"""ShopArea เนี่ย<br>เป็นศูนย์รวมของพวก ARKS และชาวเมืองเลยล่ะ"""
Npc48_mb11_020#0,"""แต่คนธรรมดาอย่างพวกชั้น <br>เข้าไปที่ GateArea ไม่ได้หรอก"""
Npc48_mb11_030#0,"""เพราะงั้นก็เลยไปขอรับภารกิจอะไรพวกนี้ไม่ได้น่ะ"""
Npc48_mb11_010#1,"""ショップエリアはねー<br>アークスと一般市民の交流場でも<br>あるんだよー。"""
Npc48_mb11_020#1,"""あたしたち一般市民は<br>ゲートエリアには入れないからねー。"""
