un_025100_0001#0,"""A.P.228/7/19"""
un_025100_0010#0,"""師匠、師匠！"""
un_025100_0020#0,"""啊哈、啊哈……<br>師匠終於找到你了。"""
un_025100_0030#0,"""之前不是說過嗎。<br>為了成為强大的ARKS<br>請讓我聽聽你的心得吧！"""
un_025100_0040#0,"""比如，師父從自己的前輩<br>那裏學到了什麼！<br>各種各樣想問的事情堆積如山！"""
un_025100_0050#0,"""幫助後輩是前輩的職責？<br>這是師匠的前輩說的嗎。"""
un_025100_0060#0,"""師匠的前輩說的很難啊……<br>太麻煩了、不過只要是師匠說了<br>就可以了麼。"""
un_025100_0070#0,"""話雖如此，師匠還是<br>知道很多東西的。<br>果然現場是不一樣的啊。"""
un_025100_0080#0,"""現在黑暗種的攻勢很强啊<br>怎麼才能有效地擊退他們<br>淨是這些話。"""
un_025100_0090#0,"""別說是爲了後輩、根本就沒有<br>先為別人著想的想法。"""
un_025100_0100#0,"""大家都有一種<br>只顧自己事情的感覺<br>根本沒把目光放在周圍。"""
un_025100_0110#0,"""……真糟糕！<br>我把研修給忘記了！<br>師匠、再見！"""
