msc_011170_0010#0,"""……あ、あの……あたし……。"""
msc_011170_0030#0,"""戦いへの恐怖は誰にでもある。<br>気に病むことはない。"""
msc_011170_0040#0,"""……。"""
msc_011170_0050#0,"""だが、その恐怖に打ち勝たねば、<br>戦い続けることは難しいだろう……。"""
msc_011170_0060#0,"""アイナ、目を閉じてみるんだ。"""
msc_011170_0070#0,"""そこに見えたもの、それがキミの戦う理由だ。"""
msc_011170_0080#0,"""よし、いいな？"""
msc_011170_0090#0,"""キミたちは、セントラルシティに戻り、<br>クロフォードに報告してくれ。"""
msc_011170_0100#0,"""あなたは？"""
msc_011170_0110#0,"""私は、次のドールズ討伐に向かう。"""
msc_011170_0120#0,"""……わかったわ。"""
msc_011170_0130#0,"""これからの活躍に期待しているぞ。"""
