name01#0,"""Astalte"""
text01#0,"""ภารกิจปัจจุบันของท่านคือ..."""
11_voice_shop_414#0,"""ปฏิบัติภารกิจ ClientOrder <c bb0000>[Difficulty Unlock II]<c><br>ของ Cofy ให้ลุล่วง"""
text03#0,"""แต่การจะรับ ClientOrder นี้ได้ <br>ท่านจำเป็นต้องมี ClassLevel <br>เท่ากับ 37 หรือมากกว่าเท่านั้นนะ"""
text04#0,"""ARKS ที่เก่งกาจ จะแสวงหาศัตรูที่<br>คู่ควรกับฝีมือของตนอย่างไม่หยุดยั้ง"""
text05#0,"""หากท่านมีความมุ่งมั่นที่แท้จริง<br>โปรดแสดงให้ทุกคนเห็นถึงความตั้งใจของท่าน"""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""コフィーのクライアントオーダー<br><c bb0000>「難易度制限解放試練・Ⅱ」<c>を<br>達成することです。"""
text03#1,"""受注するための条件に<br>クラスレベル３７以上とありますので<br>ご注意下さい。"""
text04#1,"""強いアークスは、より強い敵へ敵へ、と<br>挑んでいくものなのでしょうね。"""
text05#1,"""そこまで来たのであれば<br>きちんと生き延びて欲しいものです。"""
