st_065080_0710#0,"""な……どうなってやがる……？"""
st_065080_0720#0,"""……ふ、やれやれ。"""
st_065080_0730#0,"""助けに来るのならば<br>もう少し早く来てほしいものですね。"""
st_065080_0735#0,"""……クーナさん。"""
st_065080_0740#0,"""……別に、貴方を助けたわけではありません。<br>これは作戦行動の一環です。"""
st_065080_0750#0,"""まったく、人使いが荒いわよね。"""
st_065080_0760#0,"""まったまた、隠し球とか言われて<br>まんざらでもなかったくせに。"""
st_065080_0770#0,"""うるさい。"""
st_065080_0780#0,"""二人とも、こんなところに来てまで<br>喧嘩しないでくれよ……"""
st_065080_0790#0,"""ゼノ、今治療するからね！"""
st_065080_0800#0,"""アフィンにユクリータ……エコーまで……<br>お前達、待機組だったんじゃないのか？"""
st_065080_0810#0,"""……なるほど。<br>敵に読まれないための作戦。<br>そういうことなんですね、シャオ。"""
st_065080_0820#0,"""ったく、あの悪ガキが！<br>こうなっちまったら、いいとこ<br>見せたくなっちまうだろうが！"""
st_065080_0830#0,"""……柄ではありませんが、同意ですね。<br>六芒の力、ここに見せつけましょう。<br>クーナさん、いけますね？"""
st_065080_0840#0,"""侮らないでください。<br>私も、六芒の一人です。"""
st_065080_0850#0,"""……示せ透刃、マイ。"""
st_065080_0860#0,"""響け戒剣、ナナキ！"""
st_065080_0870#0,"""謳え燐具、フローレンベルク！"""
st_065080_0880#0,"""……それで、これからどうするの？<br>アタシたちも奥に攻め入る？"""
st_065080_0890#0,"""いや、ここで信じて戦い続ける。<br>そうすれば向こうも楽になるだろうし<br>……絶対に、なんとかしてくれるはずだ。"""
st_065080_0900#0,"""……たいした信頼ね。"""
st_065080_0910#0,"""そりゃな。<br>なんてったって、オレの<br>自慢の相棒だからな。"""
st_065080_0920#0,"""ここはオレたちに任せて<br>頑張れよ……相棒！"""
