Title#0,"""連破演習：闇の痕跡"""
Explanation#0,"""本任務は、実戦演習の一環である。<br>目標到達までの任務時間を競い合うことで<br>より一層の精進を期待する。<br>全エリアのエネミーを一掃し、時間を競う。<br>同時に、各員の共闘能力も測るため<br>本任務はパーティーでの受注を推奨とする。<br>【注意事項】<br>「アイテム」「経験値」を入手できません。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""最深部を目指せ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""ダーカーの巣窟エリア"""
Area0L#0,"""？？？？\u3000ダーカーの巣窟エリア"""
Area1S#0,"""採掘場跡エリア"""
Area1L#0,"""惑星リリーパ\u3000採掘場跡エリア"""
Area2S#0,"""黒ノ領域エリア"""
Area2L#0,"""惑星ハルコタン\u3000黒ノ領域エリア"""
Area3S#0,"""遺跡エリア"""
Area3L#0,"""惑星ナベリウス\u3000遺跡エリア"""
