name_7211#0,"""シャンディー"""
ssn_019330_002_0010#0,"""来てくれて、ありがとうございます。"""
ssn_019330_002_0020#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思っていまして。"""
ssn_019330_002_0030#0,"""実は、ハルファ全域のエネミーの数が<br>増加傾向にあるようなのです。"""
ssn_019330_002_0040#0,"""とくに、この時期特有のシンボルがついたエネミーが、<br>各地で目撃されています。"""
ssn_019330_002_0050#0,"""状況分析のために、<br>データの収集をお願いできないでしょうか？"""
ssn_019330_002_0060#0,"""あなたがシンボルつきのエネミーと交戦した際の、<br>データを送ってほしいのです。"""
ssn_019330_002_0070#0,"""それでは、よろしくお願いしますね。"""
ssn_019330_002_0080#0,"""……あ、そうそう。<br>これは調査依頼とは別ですが。"""
ssn_019330_002_0090#0,"""このところ、エアリオリージョンで“リリーパ族”という<br>謎めいた存在の目撃情報が、あがっているみたいなんです。"""
ssn_019330_002_0100#0,"""もしも、興味があるようでしたら、<br>探してみるのもいいかもしれませんよ？"""
ssn_019330_002_0110#0,"""私から、お伝えしたかった話は以上です。<br>それでは、データをお待ちしていますね。"""
ssn_019330_002_0900#0,"""この時期のエネミーの変化については、鋭意調査中です。"""
ssn_019330_002_0910#0,"""どんな些細なデータでも、<br>提供してもらえると助かります。"""
npc_menu_0010#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0020#0,"""前回のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""鉱石と交換する（$(0)まで）"""
npc_menu_0040#0,"""アイテムリサイクル（$(0)まで）"""
npc_menu_0050#0,"""シーズナルイベントについて聞く"""
npc_menu_0060#0,"""メニューを閉じる"""
npc_menu_0070#0,"""「N-グラインダー」と交換する（$(0)まで）"""
npc_menu_1010#0,"""“シーズナルイベント”について"""
npc_menu_1020#0,"""“シーズンエネミー”について"""
npc_menu_1030#0,"""“リリーパ族”について"""
npc_menu_1040#0,"""“シーズナルリージョンマグ”について"""
npc_menu_1050#0,"""“ランダマイト”について"""
npc_menu_2000#0,"""聞きたいことはない"""
