msc_027070_0010#0,"""それにしても、<br>本当に誰もいないんだね。"""
msc_027070_0020#0,"""ハルファでの実験を始めるにあたり、<br>ここから移り住んだようです。"""
msc_027070_0030#0,"""都市の機能は、<br>長いあいだ休止状態になっていました。"""
msc_027070_0040#0,"""ですが、私たちが足を踏み入れたことで、<br>一部の機能が再稼働したようです。"""
msc_027070_0050#0,"""それで、エネミーが出現するように？"""
msc_027070_0060#0,"""外敵に対する防衛システムのようです。"""
msc_027070_0070#0,"""一部訓練プログラムにエラーも見られます。"""
msc_027070_0080#0,"""エネミーを止める方法は？"""
msc_027070_0090#0,"""ゼフェットはなぜ止めない？"""
msc_027070_0100#0,"""管理権限は、<br>総督……ゼフェットがもっているようです。"""
msc_027070_0110#0,"""停止しない理由は、……わかりません。"""
msc_027070_0120#0,"""わかりません。"""
msc_027070_0130#0,"""ですが、管理権限は、<br>総督……ゼフェットがもっているようです。"""
msc_027070_0140#0,"""ここが、いつまで使われていたか、わかる？"""
msc_027070_0150#0,"""いえ、その情報も与えられていません……。"""
msc_027070_0160#0,"""この規模の都市、<br>全員がハルファやルシエルに移ったとは思えないわ。"""
msc_027070_0170#0,"""……それも、詳細は不明です。"""
msc_027070_0180#0,"""やっぱり、自分に都合の悪いことは、<br>“ヒミツ”ってことなのかしら……。"""
msc_027070_0190#0,"""わからないことは、<br>ゼフェットに聞いてみよう？"""
msc_027070_0200#0,"""あと少しで会えるんだよね？"""
msc_027070_0210#0,"""そうね。<br>行きましょう。"""
